,two-yes,two-no,ya-ns,ys-na,Total,fileId,iId
3_1,1,0,1,0,2,3,1
3_2,1,0,1,0,2,3,2
3_3,2,0,0,0,2,3,3
3_5,1,0,0,1,2,3,5
3_6,1,0,1,0,2,3,6
3_7,2,0,0,0,2,3,7
3_8,1,0,1,0,2,3,8
3_9,2,0,0,0,2,3,9
3_10,2,0,0,0,2,3,10
3_11,2,0,0,0,2,3,11
3_12,1,0,0,1,2,3,12
3_13,0,1,0,1,2,3,13
3_14,2,0,0,0,2,3,14
3_15,1,0,1,0,2,3,15
3_16,2,0,0,0,2,3,16
3_17,2,0,0,0,2,3,17
3_18,2,0,0,0,2,3,18
3_19,0,1,0,1,2,3,19
3_20,1,0,0,1,2,3,20
3_21,0,0,0,2,2,3,21
3_22,1,0,0,1,2,3,22
3_23,0,0,0,2,2,3,23
3_24,2,0,0,0,2,3,24
3_25,2,0,0,0,2,3,25
3_26,1,0,0,1,2,3,26
3_27,2,0,0,0,2,3,27
3_28,2,0,0,0,2,3,28
3_29,2,0,0,0,2,3,29
3_30,2,0,0,0,2,3,30
3_32,2,0,0,0,2,3,32
3_33,1,0,1,0,2,3,33
3_34,2,0,0,0,2,3,34
3_35,2,0,0,0,2,3,35
3_36,1,0,1,0,2,3,36
3_37,1,0,1,0,2,3,37
3_38,2,0,0,0,2,3,38
3_39,2,0,0,0,2,3,39
3_40,2,0,0,0,2,3,40
3_41,1,0,1,0,2,3,41
3_42,2,0,0,0,2,3,42
3_43,2,0,0,0,2,3,43
3_44,0,1,1,0,2,3,44
3_45,0,1,0,1,2,3,45
3_46,0,1,0,1,2,3,46
3_47,0,1,0,1,2,3,47
3_48,0,1,0,1,2,3,48
3_49,0,1,1,0,2,3,49
3_50,0,1,0,1,2,3,50
3_51,1,1,0,0,2,3,51
3_52,0,1,1,0,2,3,52
3_53,0,1,0,1,2,3,53
4_0,1,0,0,1,2,4,0
4_1,2,0,0,0,2,4,1
4_2,0,1,1,0,2,4,2
4_3,1,0,1,0,2,4,3
4_4,0,1,1,0,2,4,4
4_6,2,0,0,0,2,4,6
4_7,1,0,0,1,2,4,7
4_8,0,0,2,0,2,4,8
4_9,2,0,0,0,2,4,9
4_10,2,0,0,0,2,4,10
4_11,2,0,0,0,2,4,11
4_12,2,0,0,0,2,4,12
4_13,0,0,0,2,2,4,13
4_15,2,0,0,0,2,4,15
4_16,1,0,0,1,2,4,16
4_17,1,0,0,1,2,4,17
4_18,0,0,2,0,2,4,18
4_19,2,0,0,0,2,4,19
4_20,0,1,0,1,2,4,20
4_21,0,1,0,1,2,4,21
4_22,0,1,0,1,2,4,22
4_23,2,0,0,0,2,4,23
4_24,2,0,0,0,2,4,24
4_25,1,0,1,0,2,4,25
4_26,1,1,0,0,2,4,26
4_27,0,1,0,1,2,4,27
4_28,2,0,0,0,2,4,28
4_29,0,0,0,2,2,4,29
4_30,2,0,0,0,2,4,30
4_31,1,0,1,0,2,4,31
4_32,1,0,0,1,2,4,32
4_33,0,0,2,0,2,4,33
4_35,0,0,2,0,2,4,35
5_0,2,0,0,0,2,5,0
5_1,2,0,0,0,2,5,1
5_2,1,1,0,0,2,5,2
5_3,0,0,1,1,2,5,3
5_4,0,0,1,1,2,5,4
5_5,0,0,2,0,2,5,5
5_6,2,0,0,0,2,5,6
5_7,1,0,0,1,2,5,7
5_8,1,0,0,1,2,5,8
5_9,2,0,0,0,2,5,9
5_10,2,0,0,0,2,5,10
5_11,1,0,0,1,2,5,11
5_12,0,1,0,1,2,5,12
5_13,2,0,0,0,2,5,13
5_14,1,0,0,1,2,5,14
5_15,2,0,0,0,2,5,15
5_16,2,0,0,0,2,5,16
5_17,2,0,0,0,2,5,17
5_18,2,0,0,0,2,5,18
5_19,0,0,0,2,2,5,19
6_0,1,0,0,1,2,6,0
6_1,2,0,0,0,2,6,1
6_2,1,0,0,1,2,6,2
6_3,1,0,0,1,2,6,3
6_4,1,0,0,1,2,6,4
6_5,0,1,0,1,2,6,5
6_6,0,1,0,1,2,6,6
6_7,1,0,0,1,2,6,7
6_8,1,0,0,1,2,6,8
6_9,1,0,0,1,2,6,9
6_10,1,0,1,0,2,6,10
6_11,1,0,0,1,2,6,11
6_13,0,0,1,1,2,6,13
6_14,0,0,1,1,2,6,14
6_15,1,0,0,1,2,6,15
6_16,1,0,1,0,2,6,16
6_17,1,0,1,0,2,6,17
6_18,2,0,0,0,2,6,18
6_19,1,0,1,0,2,6,19
6_20,2,0,0,0,2,6,20
6_21,2,0,0,0,2,6,21
6_22,2,0,0,0,2,6,22
6_23,0,0,1,1,2,6,23
6_24,2,0,0,0,2,6,24
6_25,0,1,0,1,2,6,25
6_26,2,0,0,0,2,6,26
6_27,0,0,2,0,2,6,27
6_28,0,0,2,0,2,6,28
6_29,0,0,2,0,2,6,29
7_0,0,1,1,0,2,7,0
7_1,0,1,1,0,2,7,1
7_2,0,1,1,0,2,7,2
7_3,1,1,0,0,2,7,3
7_4,0,0,2,0,2,7,4
7_5,2,0,0,0,2,7,5
7_6,2,0,0,0,2,7,6
7_7,1,0,1,0,2,7,7
7_8,2,0,0,0,2,7,8
7_9,2,0,0,0,2,7,9
7_10,2,0,0,0,2,7,10
7_11,2,0,0,0,2,7,11
7_12,2,0,0,0,2,7,12
7_13,2,0,0,0,2,7,13
7_14,2,0,0,0,2,7,14
7_15,2,0,0,0,2,7,15
7_16,2,0,0,0,2,7,16
7_17,0,1,0,1,2,7,17
7_18,2,0,0,0,2,7,18
7_19,2,0,0,0,2,7,19
8_0,1,0,1,0,2,8,0
8_1,1,0,1,0,2,8,1
8_2,1,0,1,0,2,8,2
8_3,1,0,1,0,2,8,3
8_4,1,0,1,0,2,8,4
8_5,1,0,0,1,2,8,5
8_6,0,0,0,2,2,8,6
8_7,1,0,1,0,2,8,7
8_8,1,0,1,0,2,8,8
8_9,2,0,0,0,2,8,9
8_10,2,0,0,0,2,8,10
8_11,2,0,0,0,2,8,11
8_12,2,0,0,0,2,8,12
8_13,2,0,0,0,2,8,13
8_14,0,1,0,1,2,8,14
8_15,2,0,0,0,2,8,15
8_16,1,0,1,0,2,8,16
8_17,1,0,0,1,2,8,17
8_18,0,1,0,1,2,8,18
8_19,2,0,0,0,2,8,19
8_20,0,1,1,0,2,8,20
8_21,0,0,2,0,2,8,21
8_22,2,0,0,0,2,8,22
8_23,2,0,0,0,2,8,23
8_24,2,0,0,0,2,8,24
8_25,0,0,2,0,2,8,25
8_26,2,0,0,0,2,8,26
8_27,1,0,1,0,2,8,27
8_28,2,0,0,0,2,8,28
8_29,2,0,0,0,2,8,29
8_30,2,0,0,0,2,8,30
8_31,2,0,0,0,2,8,31
8_32,2,0,0,0,2,8,32
8_33,2,0,0,0,2,8,33
8_34,1,0,0,1,2,8,34
8_35,2,0,0,0,2,8,35
8_36,2,0,0,0,2,8,36
8_37,2,0,0,0,2,8,37
9_0,1,0,1,0,2,9,0
9_1,2,0,0,0,2,9,1
9_2,1,0,1,0,2,9,2
9_3,0,0,1,1,2,9,3
9_4,0,1,1,0,2,9,4
9_5,1,0,1,0,2,9,5
9_6,2,0,0,0,2,9,6
9_7,2,0,0,0,2,9,7
9_8,0,1,0,1,2,9,8
9_9,1,0,1,0,2,9,9
9_10,2,0,0,0,2,9,10
9_11,2,0,0,0,2,9,11
9_12,2,0,0,0,2,9,12
9_13,0,0,1,1,2,9,13
9_14,2,0,0,0,2,9,14
9_15,2,0,0,0,2,9,15
9_16,2,0,0,0,2,9,16
9_17,2,0,0,0,2,9,17
9_18,0,0,0,2,2,9,18
9_19,2,0,0,0,2,9,19
10_0,1,0,0,1,2,10,0
10_1,1,0,0,1,2,10,1
10_2,1,0,0,1,2,10,2
10_3,2,0,0,0,2,10,3
10_4,2,0,0,0,2,10,4
10_5,1,0,0,1,2,10,5
10_6,2,0,0,0,2,10,6
10_7,1,0,0,1,2,10,7
10_8,2,0,0,0,2,10,8
10_9,1,0,0,1,2,10,9
10_10,2,0,0,0,2,10,10
10_11,0,0,1,1,2,10,11
10_12,0,1,0,1,2,10,12
10_13,0,1,0,1,2,10,13
10_14,0,0,2,0,2,10,14
10_15,0,0,2,0,2,10,15
10_16,0,0,2,0,2,10,16
10_17,2,0,0,0,2,10,17
10_18,1,0,0,1,2,10,18
10_19,1,0,1,0,2,10,19
11_0,2,0,0,0,2,11,0
11_1,2,0,0,0,2,11,1
11_2,2,0,0,0,2,11,2
11_3,1,0,0,1,2,11,3
11_4,1,0,0,1,2,11,4
11_5,2,0,0,0,2,11,5
11_6,2,0,0,0,2,11,6
11_7,2,0,0,0,2,11,7
11_8,2,0,0,0,2,11,8
11_9,2,0,0,0,2,11,9
11_10,1,1,0,0,2,11,10
11_11,1,0,1,0,2,11,11
11_12,0,1,1,0,2,11,12
11_13,0,1,1,0,2,11,13
11_14,2,0,0,0,2,11,14
11_15,2,0,0,0,2,11,15
11_16,2,0,0,0,2,11,16
11_17,2,0,0,0,2,11,17
11_18,2,0,0,0,2,11,18
11_19,0,0,2,0,2,11,19
12_0,1,1,0,0,2,12,0
12_1,2,0,0,0,2,12,1
12_2,1,0,0,1,2,12,2
12_3,2,0,0,0,2,12,3
12_4,1,1,0,0,2,12,4
12_5,2,0,0,0,2,12,5
12_6,2,0,0,0,2,12,6
12_7,2,0,0,0,2,12,7
12_8,1,0,1,0,2,12,8
12_9,2,0,0,0,2,12,9
13_0,2,0,0,0,2,13,0
13_1,2,0,0,0,2,13,1
13_2,2,0,0,0,2,13,2
13_3,0,1,0,1,2,13,3
13_4,2,0,0,0,2,13,4
13_5,0,1,0,1,2,13,5
13_6,1,1,0,0,2,13,6
13_7,2,0,0,0,2,13,7
13_8,2,0,0,0,2,13,8
13_9,0,1,1,0,2,13,9
13_10,1,0,1,0,2,13,10
13_11,1,1,0,0,2,13,11
13_12,2,0,0,0,2,13,12
13_13,2,0,0,0,2,13,13
13_14,2,0,0,0,2,13,14
13_15,2,0,0,0,2,13,15
13_16,2,0,0,0,2,13,16
13_17,2,0,0,0,2,13,17
13_18,2,0,0,0,2,13,18
13_19,2,0,0,0,2,13,19
14_0,2,0,0,0,2,14,0
14_1,1,1,0,0,2,14,1
14_2,2,0,0,0,2,14,2
14_3,2,0,0,0,2,14,3
14_4,2,0,0,0,2,14,4
14_5,2,0,0,0,2,14,5
14_6,2,0,0,0,2,14,6
14_7,2,0,0,0,2,14,7
14_8,2,0,0,0,2,14,8
14_9,2,0,0,0,2,14,9
14_10,1,0,1,0,2,14,10
14_11,0,1,0,1,2,14,11
14_12,1,0,1,0,2,14,12
14_13,2,0,0,0,2,14,13
14_14,2,0,0,0,2,14,14
14_15,1,1,0,0,2,14,15
14_16,2,0,0,0,2,14,16
14_17,1,0,1,0,2,14,17
14_18,0,1,0,1,2,14,18
14_19,1,0,1,0,2,14,19
14_20,2,0,0,0,2,14,20
14_21,2,0,0,0,2,14,21
14_22,2,0,0,0,2,14,22
14_23,2,0,0,0,2,14,23
14_24,2,0,0,0,2,14,24
15_0,1,0,1,0,2,15,0
15_1,2,0,0,0,2,15,1
15_2,0,0,2,0,2,15,2
15_3,2,0,0,0,2,15,3
15_4,1,0,0,1,2,15,4
15_5,2,0,0,0,2,15,5
15_6,1,0,0,1,2,15,6
15_7,1,0,0,1,2,15,7
15_8,1,0,0,1,2,15,8
15_9,1,0,0,1,2,15,9
15_10,1,0,0,1,2,15,10
15_11,1,0,0,1,2,15,11
15_12,1,0,0,1,2,15,12
15_13,2,0,0,0,2,15,13
15_14,2,0,0,0,2,15,14
15_15,2,0,0,0,2,15,15
15_16,2,0,0,0,2,15,16
15_17,1,0,0,1,2,15,17
15_18,2,0,0,0,2,15,18
15_19,2,0,0,0,2,15,19
16_0,0,1,1,0,2,16,0
16_1,2,0,0,0,2,16,1
16_2,2,0,0,0,2,16,2
16_3,2,0,0,0,2,16,3
16_4,2,0,0,0,2,16,4
16_5,1,0,0,1,2,16,5
16_6,2,0,0,0,2,16,6
16_7,1,0,0,1,2,16,7
16_8,2,0,0,0,2,16,8
16_10,1,0,0,1,2,16,10
16_11,1,0,0,1,2,16,11
16_12,2,0,0,0,2,16,12
16_13,1,0,0,1,2,16,13
16_14,1,0,0,1,2,16,14
16_15,2,0,0,0,2,16,15
16_16,1,0,0,1,2,16,16
16_17,1,0,0,1,2,16,17
16_18,1,0,0,1,2,16,18
16_19,1,0,0,1,2,16,19
17_0,2,0,0,0,2,17,0
17_1,2,0,0,0,2,17,1
17_2,2,0,0,0,2,17,2
17_3,0,1,0,1,2,17,3
17_4,0,1,0,1,2,17,4
17_5,0,1,0,1,2,17,5
17_6,2,0,0,0,2,17,6
17_7,2,0,0,0,2,17,7
17_8,0,0,2,0,2,17,8
17_9,0,0,2,0,2,17,9
17_10,2,0,0,0,2,17,10
17_11,0,1,0,1,2,17,11
17_12,0,1,1,0,2,17,12
17_13,0,1,0,1,2,17,13
17_14,2,0,0,0,2,17,14
17_15,2,0,0,0,2,17,15
17_16,1,0,0,1,2,17,16
17_17,2,0,0,0,2,17,17
17_18,2,0,0,0,2,17,18
17_19,2,0,0,0,2,17,19
18_0,2,0,0,0,2,18,0
18_1,2,0,0,0,2,18,1
18_2,2,0,0,0,2,18,2
18_3,2,0,0,0,2,18,3
18_4,2,0,0,0,2,18,4
18_5,2,0,0,0,2,18,5
18_6,2,0,0,0,2,18,6
18_7,2,0,0,0,2,18,7
18_8,1,0,1,0,2,18,8
18_9,2,0,0,0,2,18,9
18_10,2,0,0,0,2,18,10
18_11,2,0,0,0,2,18,11
18_12,1,0,0,1,2,18,12
18_13,2,0,0,0,2,18,13
18_14,1,0,0,1,2,18,14
18_15,2,0,0,0,2,18,15
18_16,2,0,0,0,2,18,16
18_17,2,0,0,0,2,18,17
18_18,2,0,0,0,2,18,18
18_19,2,0,0,0,2,18,19
19_0,2,0,0,0,2,19,0
19_1,1,0,0,1,2,19,1
19_2,0,0,2,0,2,19,2
19_3,2,0,0,0,2,19,3
19_4,2,0,0,0,2,19,4
19_5,2,0,0,0,2,19,5
19_6,2,0,0,0,2,19,6
19_7,0,0,2,0,2,19,7
19_8,2,0,0,0,2,19,8
19_9,2,0,0,0,2,19,9
19_10,2,0,0,0,2,19,10
19_11,1,0,0,1,2,19,11
19_12,2,0,0,0,2,19,12
19_13,2,0,0,0,2,19,13
19_14,2,0,0,0,2,19,14
19_15,2,0,0,0,2,19,15
19_16,1,0,0,1,2,19,16
19_17,2,0,0,0,2,19,17
19_18,2,0,0,0,2,19,18
19_19,2,0,0,0,2,19,19
20_0,1,0,0,1,2,20,0
20_1,2,0,0,0,2,20,1
20_2,1,0,0,1,2,20,2
20_3,0,1,0,1,2,20,3
20_4,0,1,0,1,2,20,4
20_5,1,0,0,1,2,20,5
20_6,0,1,0,1,2,20,6
20_7,1,1,0,0,2,20,7
20_8,1,0,0,1,2,20,8
20_9,1,1,0,0,2,20,9
20_10,2,0,0,0,2,20,10
20_12,1,0,0,1,2,20,12
20_13,1,0,1,0,2,20,13
20_14,1,0,0,1,2,20,14
20_15,1,0,0,1,2,20,15
20_16,2,0,0,0,2,20,16
20_17,2,0,0,0,2,20,17
20_18,2,0,0,0,2,20,18
20_19,0,0,2,0,2,20,19
20_20,0,1,0,1,2,20,20
20_21,2,0,0,0,2,20,21
20_22,1,0,0,1,2,20,22
20_23,1,0,0,1,2,20,23
20_24,1,0,0,1,2,20,24
20_25,0,1,0,1,2,20,25
20_26,1,0,0,1,2,20,26
20_27,0,0,1,1,2,20,27
20_28,1,0,0,1,2,20,28
20_29,0,1,0,1,2,20,29
21_0,1,1,0,0,2,21,0
21_1,1,1,0,0,2,21,1
21_2,0,1,0,1,2,21,2
21_3,1,1,0,0,2,21,3
21_4,1,1,0,0,2,21,4
21_5,1,1,0,0,2,21,5
21_6,1,1,0,0,2,21,6
21_7,1,1,0,0,2,21,7
21_8,0,1,0,1,2,21,8
21_9,1,1,0,0,2,21,9
21_10,0,1,0,1,2,21,10
21_11,0,1,0,1,2,21,11
21_12,0,1,0,1,2,21,12
21_13,0,1,0,1,2,21,13
21_14,0,1,0,1,2,21,14
21_15,0,1,0,1,2,21,15
21_16,0,1,0,1,2,21,16
21_17,0,1,0,1,2,21,17
21_18,0,1,0,1,2,21,18
21_19,0,1,0,1,2,21,19
22_0,2,0,0,0,2,22,0
22_1,2,0,0,0,2,22,1
22_2,0,1,0,1,2,22,2
22_3,2,0,0,0,2,22,3
22_4,2,0,0,0,2,22,4
22_5,2,0,0,0,2,22,5
22_6,2,0,0,0,2,22,6
22_7,1,1,0,0,2,22,7
22_8,2,0,0,0,2,22,8
22_9,2,0,0,0,2,22,9
22_10,2,0,0,0,2,22,10
22_11,2,0,0,0,2,22,11
22_12,1,0,0,1,2,22,12
22_13,1,1,0,0,2,22,13
22_14,2,0,0,0,2,22,14
22_15,2,0,0,0,2,22,15
22_16,2,0,0,0,2,22,16
22_17,2,0,0,0,2,22,17
22_18,2,0,0,0,2,22,18
22_19,1,0,0,1,2,22,19
23_0,0,1,0,1,2,23,0
23_1,2,0,0,0,2,23,1
23_2,1,1,0,0,2,23,2
23_3,0,1,0,1,2,23,3
23_4,0,0,2,0,2,23,4
23_5,2,0,0,0,2,23,5
23_6,2,0,0,0,2,23,6
23_7,2,0,0,0,2,23,7
23_8,0,1,0,1,2,23,8
23_9,0,1,1,0,2,23,9
23_10,2,0,0,0,2,23,10
23_11,0,0,2,0,2,23,11
23_12,0,1,0,1,2,23,12
23_13,0,1,0,1,2,23,13
23_14,0,1,0,1,2,23,14
23_15,2,0,0,0,2,23,15
23_16,0,1,0,1,2,23,16
23_17,0,1,0,1,2,23,17
23_18,0,1,0,1,2,23,18
23_19,2,0,0,0,2,23,19
23_20,1,1,0,0,2,23,20
23_21,1,0,0,1,2,23,21
23_22,0,1,0,1,2,23,22
23_23,1,0,1,0,2,23,23
23_24,1,0,0,1,2,23,24
23_25,2,0,0,0,2,23,25
23_26,1,0,0,1,2,23,26
23_27,0,1,0,1,2,23,27
23_28,2,0,0,0,2,23,28
23_29,0,1,0,1,2,23,29
24_0,2,0,0,0,2,24,0
24_1,1,0,1,0,2,24,1
24_2,0,1,1,0,2,24,2
24_3,2,0,0,0,2,24,3
24_4,2,0,0,0,2,24,4
24_5,2,0,0,0,2,24,5
24_7,2,0,0,0,2,24,7
24_8,2,0,0,0,2,24,8
24_9,2,0,0,0,2,24,9
24_10,2,0,0,0,2,24,10
24_11,0,0,2,0,2,24,11
24_12,2,0,0,0,2,24,12
24_13,0,0,2,0,2,24,13
24_14,1,0,1,0,2,24,14
24_15,2,0,0,0,2,24,15
24_16,1,0,0,1,2,24,16
24_17,0,0,2,0,2,24,17
24_18,2,0,0,0,2,24,18
24_19,2,0,0,0,2,24,19
25_0,2,0,0,0,2,25,0
25_1,1,0,1,0,2,25,1
25_2,2,0,0,0,2,25,2
25_3,1,1,0,0,2,25,3
25_4,0,1,0,1,2,25,4
25_5,0,0,2,0,2,25,5
25_6,1,1,0,0,2,25,6
25_7,1,0,1,0,2,25,7
25_8,2,0,0,0,2,25,8
25_9,2,0,0,0,2,25,9
25_10,1,0,0,1,2,25,10
25_11,2,0,0,0,2,25,11
25_12,1,0,0,1,2,25,12
25_13,2,0,0,0,2,25,13
25_14,2,0,0,0,2,25,14
25_15,2,0,0,0,2,25,15
25_16,2,0,0,0,2,25,16
25_17,2,0,0,0,2,25,17
25_18,2,0,0,0,2,25,18
25_19,2,0,0,0,2,25,19
26_0,0,1,0,1,2,26,0
26_1,0,0,1,1,2,26,1
26_2,0,1,0,1,2,26,2
26_3,1,0,1,0,2,26,3
26_4,0,0,1,1,2,26,4
26_5,0,1,0,1,2,26,5
26_6,0,1,0,1,2,26,6
26_7,1,0,1,0,2,26,7
26_8,1,0,1,0,2,26,8
26_9,0,0,1,1,2,26,9
26_10,2,0,0,0,2,26,10
26_11,1,0,0,1,2,26,11
26_12,1,0,0,1,2,26,12
26_13,1,0,0,1,2,26,13
26_14,1,0,0,1,2,26,14
26_15,2,0,0,0,2,26,15
26_16,0,0,2,0,2,26,16
26_17,1,0,0,1,2,26,17
26_18,2,0,0,0,2,26,18
26_19,1,0,0,1,2,26,19
27_0,2,0,0,0,2,27,0
27_1,2,0,0,0,2,27,1
27_2,2,0,0,0,2,27,2
27_3,2,0,0,0,2,27,3
27_4,2,0,0,0,2,27,4
27_5,2,0,0,0,2,27,5
27_6,2,0,0,0,2,27,6
27_7,2,0,0,0,2,27,7
27_8,2,0,0,0,2,27,8
27_9,2,0,0,0,2,27,9
27_10,2,0,0,0,2,27,10
27_11,2,0,0,0,2,27,11
27_12,1,0,1,0,2,27,12
27_13,2,0,0,0,2,27,13
27_14,2,0,0,0,2,27,14
27_15,0,0,2,0,2,27,15
27_16,2,0,0,0,2,27,16
27_17,2,0,0,0,2,27,17
27_18,0,0,2,0,2,27,18
27_19,2,0,0,0,2,27,19
27_20,2,0,0,0,2,27,20
27_21,2,0,0,0,2,27,21
27_22,0,1,0,1,2,27,22
27_23,0,1,1,0,2,27,23
27_24,2,0,0,0,2,27,24
27_25,0,1,1,0,2,27,25
27_26,2,0,0,0,2,27,26
28_0,2,0,0,0,2,28,0
28_1,1,0,1,0,2,28,1
28_2,2,0,0,0,2,28,2
28_3,2,0,0,0,2,28,3
28_4,1,0,0,1,2,28,4
28_5,2,0,0,0,2,28,5
28_6,2,0,0,0,2,28,6
28_7,2,0,0,0,2,28,7
28_8,2,0,0,0,2,28,8
28_9,2,0,0,0,2,28,9
28_10,2,0,0,0,2,28,10
28_11,2,0,0,0,2,28,11
28_12,2,0,0,0,2,28,12
28_13,2,0,0,0,2,28,13
28_14,2,0,0,0,2,28,14
28_15,2,0,0,0,2,28,15
28_16,2,0,0,0,2,28,16
28_17,2,0,0,0,2,28,17
28_18,2,0,0,0,2,28,18
28_19,2,0,0,0,2,28,19
29_0,2,0,0,0,2,29,0
29_1,1,0,1,0,2,29,1
29_2,1,1,0,0,2,29,2
29_3,1,0,1,0,2,29,3
29_4,1,0,1,0,2,29,4
29_5,1,0,1,0,2,29,5
29_6,0,1,0,1,2,29,6
29_7,1,0,1,0,2,29,7
29_8,1,1,0,0,2,29,8
29_9,0,1,1,0,2,29,9
29_10,2,0,0,0,2,29,10
29_11,2,0,0,0,2,29,11
29_12,2,0,0,0,2,29,12
29_13,2,0,0,0,2,29,13
29_14,1,1,0,0,2,29,14
29_15,2,0,0,0,2,29,15
29_16,2,0,0,0,2,29,16
29_17,2,0,0,0,2,29,17
29_18,2,0,0,0,2,29,18
29_19,0,1,1,0,2,29,19
30_0,2,0,0,0,2,30,0
30_1,2,0,0,0,2,30,1
30_2,1,0,0,1,2,30,2
30_3,2,0,0,0,2,30,3
30_4,2,0,0,0,2,30,4
30_5,2,0,0,0,2,30,5
30_6,2,0,0,0,2,30,6
30_7,1,0,0,1,2,30,7
30_8,1,0,0,1,2,30,8
30_9,2,0,0,0,2,30,9
30_10,0,1,0,1,2,30,10
30_11,1,1,0,0,2,30,11
30_12,0,0,1,1,2,30,12
30_13,1,0,0,1,2,30,13
30_14,2,0,0,0,2,30,14
30_15,2,0,0,0,2,30,15
30_16,1,0,0,1,2,30,16
30_17,2,0,0,0,2,30,17
30_18,0,1,1,0,2,30,18
30_19,0,1,0,1,2,30,19
30_20,2,0,0,0,2,30,20
30_21,2,0,0,0,2,30,21
30_22,0,1,0,1,2,30,22
30_23,0,0,1,1,2,30,23
30_24,1,1,0,0,2,30,24
30_26,1,1,0,0,2,30,26
30_27,2,0,0,0,2,30,27
31_0,1,0,1,0,2,31,0
31_1,1,0,1,0,2,31,1
31_2,1,1,0,0,2,31,2
31_3,0,1,0,1,2,31,3
31_4,1,0,1,0,2,31,4
31_5,1,1,0,0,2,31,5
31_6,1,0,0,1,2,31,6
31_7,0,1,0,1,2,31,7
31_8,2,0,0,0,2,31,8
31_9,1,0,1,0,2,31,9
31_10,0,1,0,1,2,31,10
31_11,0,1,0,1,2,31,11
31_12,0,1,0,1,2,31,12
31_13,0,1,0,1,2,31,13
31_14,1,0,1,0,2,31,14
31_15,1,0,0,1,2,31,15
31_16,1,0,0,1,2,31,16
31_17,2,0,0,0,2,31,17
31_18,2,0,0,0,2,31,18
31_19,2,0,0,0,2,31,19
31_20,2,0,0,0,2,31,20
31_21,2,0,0,0,2,31,21
31_22,1,0,1,0,2,31,22
31_23,2,0,0,0,2,31,23
31_24,2,0,0,0,2,31,24
31_25,2,0,0,0,2,31,25
31_26,0,1,0,1,2,31,26
31_27,2,0,0,0,2,31,27
31_29,2,0,0,0,2,31,29
31_30,2,0,0,0,2,31,30
31_31,2,0,0,0,2,31,31
31_32,2,0,0,0,2,31,32
31_33,0,0,2,0,2,31,33
32_0,2,0,0,0,2,32,0
32_1,2,0,0,0,2,32,1
32_2,2,0,0,0,2,32,2
32_3,2,0,0,0,2,32,3
32_4,2,0,0,0,2,32,4
32_5,2,0,0,0,2,32,5
32_6,2,0,0,0,2,32,6
32_7,2,0,0,0,2,32,7
32_8,1,0,0,1,2,32,8
32_9,2,0,0,0,2,32,9
32_10,2,0,0,0,2,32,10
32_11,2,0,0,0,2,32,11
32_12,2,0,0,0,2,32,12
32_13,1,0,0,1,2,32,13
32_14,2,0,0,0,2,32,14
32_15,1,0,0,1,2,32,15
32_16,0,0,2,0,2,32,16
32_17,2,0,0,0,2,32,17
32_18,2,0,0,0,2,32,18
32_19,2,0,0,0,2,32,19
33_0,1,1,0,0,2,33,0
33_1,1,1,0,0,2,33,1
33_2,0,1,0,1,2,33,2
33_3,1,0,1,0,2,33,3
33_4,1,0,1,0,2,33,4
33_5,0,1,0,1,2,33,5
33_6,0,1,0,1,2,33,6
33_7,1,1,0,0,2,33,7
33_8,0,1,0,1,2,33,8
33_9,0,1,0,1,2,33,9
