,yes-sentiment,category,hotel_id,cpt,fileId,iId,gold,text,date,sentiment,cpts,sentiment_mean,date_period,cpt_id,cpt_label,TS_LEN
3_3,2,restaurant,260,0,3,3,True,The International restaurant was okay we had a couple steaks that were underseasoned but a little salt fixed that problem,2015-01-21,-0.4895097315311432,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a,4
3_7,2,restaurant,260,0,3,7,True,Breakfast buffet was standard comparable to Excellence,2015-03-05,-0.1756417155265808,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a,4
3_9,2,restaurant,260,0,3,9,True,due to the ravings about the restaurant i was expecting amazing food,2015-03-10,-0.2435554265975952,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a,4
3_10,2,restaurant,260,1,3,10,True,Every night we came back for dinner to get a nice soak before bed,2015-06-02,0.1549891233444214,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a,6
3_11,2,restaurant,260,1,3,11,True,The manager Antonio provided us with changes to the menu that catered to my finicky tastes,2015-06-28,0.15560120344161987,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a,6
3_14,2,restaurant,260,1,3,14,True,We did the chefs dinner where you see the chefs cook and then eat the food accompanied with champagne and wines,2016-05-29,0.14987123012542725,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a,6
3_16,2,restaurant,260,1,3,16,True,On one night which was Thursdays they had a outside buffet set up they were grilling meats seafood had a salad bar sushi set up and many other choices,2016-12-03,0.1224832534790039,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a,6
3_17,2,restaurant,260,1,3,17,True,She knew what I liked after cooking me one meal,2017-04-30,0.15874522924423218,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a,6
3_18,2,restaurant,260,1,3,18,True,Asia restaurant Roger and his assistant Gery,2017-05-30,0.11785972118377686,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a,6
3_24,2,restaurant,260,2,3,24,True,We did really enjoy sushi at the Asian and the appetizers at the French restaurants but loved everything else too,2018-03-06,0.19053560495376587,"[0, 75, 885, 990, 1085, 1105, 1373]",0.24622376246477196,"['2018-01-22', '2018-06-01']",3_2,c,5
3_25,2,restaurant,260,2,3,25,True,The bars were all well stocked with premium liquor,2018-03-20,0.1751192808151245,"[0, 75, 885, 990, 1085, 1105, 1373]",0.24622376246477196,"['2018-01-22', '2018-06-01']",3_2,c,5
3_27,2,restaurant,260,2,3,27,True,I love Thai food so I was happy to find out that they have Tom Kha Gai soup on their menu a Thai style soup with coconut milk a must try,2018-04-23,0.23266786336898804,"[0, 75, 885, 990, 1085, 1105, 1373]",0.24622376246477196,"['2018-01-22', '2018-06-01']",3_2,c,5
3_28,2,restaurant,260,2,3,28,True,I know they had more guests coming but when I go to the fancy restaurant I like to spend my time to enjoy all meals and relax,2018-05-24,0.2131771445274353,"[0, 75, 885, 990, 1085, 1105, 1373]",0.24622376246477196,"['2018-01-22', '2018-06-01']",3_2,c,5
3_29,2,restaurant,260,2,3,29,True,The restaurants at night are all good,2018-05-30,0.21019774675369265,"[0, 75, 885, 990, 1085, 1105, 1373]",0.24622376246477196,"['2018-01-22', '2018-06-01']",3_2,c,5
3_30,2,restaurant,260,3,3,30,True,And also consider the special dinners that are offered,2018-06-07,0.18077987432479856,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,6
3_32,2,restaurant,260,3,3,32,True,Others said it was their favorite restaurant and loved their meals,2019-01-11,0.19056010246276853,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,6
3_34,2,restaurant,260,3,3,34,True,But Le Blanc also has Lumiere French Fusion Cuisine to die for,2019-01-23,0.206878662109375,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,6
3_35,2,restaurant,260,3,3,35,True,Le Blanc PM Mexican restaurant staff,2019-01-31,0.17528903484344482,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,6
3_38,2,restaurant,260,3,3,38,True,The service in all restaurants was excellent but Bela went over and above,2019-02-07,0.22837746143341064,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,6
3_39,2,restaurant,260,3,3,39,True,They decorated an entire meeting room with NFL decor including snacks and deserts and of course drinks,2019-02-08,0.2308282852172852,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,6
3_40,2,restaurant,260,4,3,40,True,Yama Japanese Restaurant,2019-02-12,0.12933874130249026,"[0, 75, 885, 990, 1085, 1105, 1373]",0.08285729186165901,"['2019-02-11', '2019-03-05']",3_4,c,3
3_42,2,restaurant,260,4,3,42,True,This Terrace has been totally transformed with full menu restaurant all day and evening,2019-02-21,0.09187829494476316,"[0, 75, 885, 990, 1085, 1105, 1373]",0.08285729186165901,"['2019-02-11', '2019-03-05']",3_4,c,3
3_43,2,restaurant,260,4,3,43,True,Food is very good would like to see a buffet option rather than a la carte for dinner,2019-02-26,0.14358305931091309,"[0, 75, 885, 990, 1085, 1105, 1373]",0.08285729186165901,"['2019-02-11', '2019-03-05']",3_4,c,3
4_1,2,room,260,0,4,1,True,Even though we checked in early in the day our room was ready,2015-02-25,-0.3182094693183899,"[0, 135, 780, 1040, 1272]",0.06975333816321451,"['2015-01-01', '2015-06-26']",4_0,c,3
4_6,2,room,260,0,4,6,True,The rooms are very nice but I am starting to view the jacuzi as something that just takes up space as we do not ever use them any more,2015-03-26,0.00709986686706543,"[0, 135, 780, 1040, 1272]",0.06975333816321451,"['2015-01-01', '2015-06-26']",4_0,c,3
4_9,2,room,260,0,4,9,True,I stayed in two different room categories and both were pretty much the same except for the view,2015-05-18,-0.4701921939849854,"[0, 135, 780, 1040, 1272]",0.06975333816321451,"['2015-01-01', '2015-06-26']",4_0,c,3
4_10,2,room,260,1,4,10,True,We had resort credits when we booked so we used some of those to upgrade our room to an ocean view,2015-08-18,0.14920485019683838,"[0, 135, 780, 1040, 1272]",0.15173084325241193,"['2015-06-27', '2017-10-22']",4_1,c,5
4_11,2,room,260,1,4,11,True,I have stayed at nicer rooms but have never had the service that we had at le blanc,2015-10-07,0.0704423189163208,"[0, 135, 780, 1040, 1272]",0.15173084325241193,"['2015-06-27', '2017-10-22']",4_1,c,5
4_12,2,room,260,1,4,12,True,Open plan two closets,2016-04-13,0.1497367024421692,"[0, 135, 780, 1040, 1272]",0.15173084325241193,"['2015-06-27', '2017-10-22']",4_1,c,5
4_15,2,room,260,1,4,15,True,They bring the whole table to your room so you can eat with a view,2016-09-22,0.15030473470687866,"[0, 135, 780, 1040, 1272]",0.15173084325241193,"['2015-06-27', '2017-10-22']",4_1,c,5
4_19,2,room,260,1,4,19,True,We came back to find our Tub filled champagne roses and balloons filled the ceiling,2017-09-05,0.14120841026306152,"[0, 135, 780, 1040, 1272]",0.15173084325241193,"['2015-06-27', '2017-10-22']",4_1,c,5
5_0,2,facility,110,0,5,0,True,The only free wifi was in the lobby,2015-03-10,-0.4016974866390228,"[0, 885, 2140]",0.18295243004667855,"['2015-01-04', '2018-06-25 04:12:47']",5_0,a,4
5_1,2,facility,110,0,5,1,True,The gym was on the small and cramped side but there were a few options but based on my Crowne Plaza experience it is pretty poor overall,2016-05-09,-0.4946321249008178,"[0, 885, 2140]",0.18295243004667855,"['2015-01-04', '2018-06-25 04:12:47']",5_0,a,4
5_6,2,facility,110,0,5,6,True,No information in room showing hotel facilities,2018-03-19 11:16:45,-0.4980983436107636,"[0, 885, 2140]",0.18295243004667855,"['2015-01-04', '2018-06-25 04:12:47']",5_0,a,4
5_9,2,facility,110,0,5,9,True,Disappointing aspects included the lack of cups for water in the gym EVERY morning this was empty and I stayed for 3 nights no towels for the gym or sauna hotel cards continually not working kept no where near a phone or other cards as well as a quite archaic hairdryer in the rooms as well as no hair straighteners available at concierge,2018-05-26 06:21:04,-0.4983415603637695,"[0, 885, 2140]",0.18295243004667855,"['2015-01-04', '2018-06-25 04:12:47']",5_0,a,4
5_10,2,facility,110,1,5,10,True,Great Location great facilities close to shops and restaurants and if you are there for the football it ’s just around the corner,2018-08-18 00:00:00,0.4981914162635803,"[0, 885, 2140]",0.23149621783760255,"['2018-06-25 12:01:58', '2020-03-30 08:02:30']",5_1,,6
5_13,2,facility,110,1,5,13,True,Warm welcome by reception staff and staff in general,2019-03-25 04:35:09,0.496964156627655,"[0, 885, 2140]",0.23149621783760255,"['2018-06-25 12:01:58', '2020-03-30 08:02:30']",5_1,,6
5_15,2,facility,110,1,5,15,True,Reception staff are excellent,2019-07-26 02:08:10,0.4949817061424256,"[0, 885, 2140]",0.23149621783760255,"['2018-06-25 12:01:58', '2020-03-30 08:02:30']",5_1,,6
5_16,2,facility,110,1,5,16,True,The reception staff were very friendly helpful the room was spacious and attractive with plenty of towels and bath robes to borrow,2019-11-05 00:00:00,0.4998786449432373,"[0, 885, 2140]",0.23149621783760255,"['2018-06-25 12:01:58', '2020-03-30 08:02:30']",5_1,,6
5_17,2,facility,110,1,5,17,True,I enjoyed the upgrade and made full us of the gym,2019-12-11 05:06:31,0.4893434047698975,"[0, 885, 2140]",0.23149621783760255,"['2018-06-25 12:01:58', '2020-03-30 08:02:30']",5_1,,6
5_18,2,facility,110,1,5,18,True,Staff were very friendly and exceptionally helpful from the concierge reception restaurant staff and the wonderful Club Lounge Concierge,2019-12-21 11:57:04,0.4995964169502258,"[0, 885, 2140]",0.23149621783760255,"['2018-06-25 12:01:58', '2020-03-30 08:02:30']",5_1,,6
7_5,2,pool,110,0,7,5,True,Cushions on sunloungers around pool area are worn and dirty,2016-12-30,-0.4948084950447082,"[0, 340, 708]",0.11014834661109774,"['2015-01-01', '2018-05-04 00:00:00']",7_0,a,4
7_6,2,pool,110,0,7,6,True,Pool was too cold to use,2017-01-16,-0.4931766986846924,"[0, 340, 708]",0.11014834661109774,"['2015-01-01', '2018-05-04 00:00:00']",7_0,a,4
7_8,2,pool,110,0,7,8,True,small pool and spa area not very easy to access especially when parents and children take over the space,2017-02-01,-0.4990702271461487,"[0, 340, 708]",0.11014834661109774,"['2015-01-01', '2018-05-04 00:00:00']",7_0,a,4
7_9,2,pool,110,0,7,9,True,There is a lap pool and SPA sauna was out of order during my stay but steam room works fine,2018-02-06 00:00:00,-0.4769870936870575,"[0, 340, 708]",0.11014834661109774,"['2015-01-01', '2018-05-04 00:00:00']",7_0,a,4
7_10,2,pool,110,1,7,10,True,Pool area was great,2018-07-03 13:10:03,0.4932112693786621,"[0, 340, 708]",0.18150681086505452,"['2018-05-08 00:00:00', '2020-03-24 07:05:20']",7_1,,9
7_11,2,pool,110,1,7,11,True,Great service breakfast and facilities pool gym,2018-10-10 22:02:38,0.4989122152328491,"[0, 340, 708]",0.18150681086505452,"['2018-05-08 00:00:00', '2020-03-24 07:05:20']",7_1,,9
7_12,2,pool,110,1,7,12,True,Pool sauna spa,2018-12-15 00:00:00,0.4334207177162169,"[0, 340, 708]",0.18150681086505452,"['2018-05-08 00:00:00', '2020-03-24 07:05:20']",7_1,,9
7_13,2,pool,110,1,7,13,True,The hotel had a pool and gym area which included spa steam room sauna,2019-01-20 00:00:00,0.4944742321968079,"[0, 340, 708]",0.18150681086505452,"['2018-05-08 00:00:00', '2020-03-24 07:05:20']",7_1,,9
7_14,2,pool,110,1,7,14,True,Kids love the pool,2019-05-14 09:50:15,0.4827233552932739,"[0, 340, 708]",0.18150681086505452,"['2018-05-08 00:00:00', '2020-03-24 07:05:20']",7_1,,9
7_15,2,pool,110,1,7,15,True,Loved the pool and steam room,2019-06-09 00:00:00,0.4981634020805359,"[0, 340, 708]",0.18150681086505452,"['2018-05-08 00:00:00', '2020-03-24 07:05:20']",7_1,,9
7_16,2,pool,110,1,7,16,True,We particularly enjoyed the pool gym and spa,2019-08-06 05:26:20,0.4623297452926636,"[0, 340, 708]",0.18150681086505452,"['2018-05-08 00:00:00', '2020-03-24 07:05:20']",7_1,,9
7_18,2,pool,110,1,7,18,True,Their clean well maintained gym spa steam room and pool with very sensible opening hours can only be considered an added bonus,2019-08-26 23:50:03,0.478999376296997,"[0, 340, 708]",0.18150681086505452,"['2018-05-08 00:00:00', '2020-03-24 07:05:20']",7_1,,9
7_19,2,pool,110,1,7,19,True,Everyone is so helpful and the pool spa and all facilities are so clean,2019-11-05 00:00:00,0.4995978474617005,"[0, 340, 708]",0.18150681086505452,"['2018-05-08 00:00:00', '2020-03-24 07:05:20']",7_1,,9
8_10,2,restaurant,110,1,8,10,True,The room was above expectations and the breakfast great value,2017-04-14,0.2190253138542176,"[0, 520, 870, 1250, 3068]",0.24351903639492198,"['2017-03-02', '2018-02-05 00:00:00']",8_1,c,5
8_11,2,restaurant,110,1,8,11,True,It offered juices fruits cereals croissants and pastries cheeses and the hot selection of sausages hash browns bacon tomato mushroom and so on together with an egg station for eggs any way,2017-06-09,0.22233718633651733,"[0, 520, 870, 1250, 3068]",0.24351903639492198,"['2017-03-02', '2018-02-05 00:00:00']",8_1,c,5
8_12,2,restaurant,110,1,8,12,True,I had the pork sliders as a late night snack and these were delicious,2017-07-20,0.21456056833267206,"[0, 520, 870, 1250, 3068]",0.24351903639492198,"['2017-03-02', '2018-02-05 00:00:00']",8_1,c,5
8_13,2,restaurant,110,1,8,13,True,Breakfast was good with a lot of variety and posibilitiy to get a small dish cooked,2017-09-30,0.22830402851104736,"[0, 520, 870, 1250, 3068]",0.24351903639492198,"['2017-03-02', '2018-02-05 00:00:00']",8_1,c,5
8_15,2,restaurant,110,1,8,15,True,Dinner menu was decent too,2018-01-17 00:00:00,0.2100328803062439,"[0, 520, 870, 1250, 3068]",0.24351903639492198,"['2017-03-02', '2018-02-05 00:00:00']",8_1,c,5
8_19,2,restaurant,110,2,8,19,True,We did not eat at the hotel but the breakfast did look great,2018-02-22 00:00:00,0.06791269779205322,"[0, 520, 870, 1250, 3068]",-0.013329519232269764,"['2018-02-06 00:00:00', '2018-06-25 13:50:53']",8_2,b,5
8_22,2,restaurant,110,2,8,22,True,We dined at Salt The Pullman ’s restaurant,2018-04-07 00:00:00,0.1878601312637329,"[0, 520, 870, 1250, 3068]",-0.013329519232269764,"['2018-02-06 00:00:00', '2018-06-25 13:50:53']",8_2,b,5
8_23,2,restaurant,110,2,8,23,True,April who severed us each morning at breakfast was helpful and very professional and cherfulwould have liked to been told they were putting some of the account on to given visa as would have preferred to have paid cash,2018-04-15 00:00:00,0.02867412567138672,"[0, 520, 870, 1250, 3068]",-0.013329519232269764,"['2018-02-06 00:00:00', '2018-06-25 13:50:53']",8_2,b,5
8_24,2,restaurant,110,2,8,24,True,Comprehensive buffet breakfast,2018-05-07 00:00:00,0.21286481618881226,"[0, 520, 870, 1250, 3068]",-0.013329519232269764,"['2018-02-06 00:00:00', '2018-06-25 13:50:53']",8_2,b,5
8_26,2,restaurant,110,2,8,26,True,My friend also enjoyed her barramundi dish very much,2018-05-22 05:31:07,0.0652691125869751,"[0, 520, 870, 1250, 3068]",-0.013329519232269764,"['2018-02-06 00:00:00', '2018-06-25 13:50:53']",8_2,b,5
8_28,2,restaurant,110,3,8,28,True,Bar drinks were totally overpriced a glass of Peperjack Shiraz was 16,2018-08-17 06:35:14,-0.4961397349834442,"[0, 520, 870, 1250, 3068]",0.13221044056953749,"['2018-06-26 02:33:57', '2020-04-12 00:00:00']",8_3,,9
8_29,2,restaurant,110,3,8,29,True,We did not use the mini bar Too expensive,2018-09-17 04:54:40,-0.4307260513305664,"[0, 520, 870, 1250, 3068]",0.13221044056953749,"['2018-06-26 02:33:57', '2020-04-12 00:00:00']",8_3,,9
8_30,2,restaurant,110,3,8,30,True,Check in was delayed conferences facilities booked were ordinary meal in resturant was unsatisfactory and pressed laundary was returned lying on bed,2018-09-19 00:55:59,-0.4963457882404328,"[0, 520, 870, 1250, 3068]",0.13221044056953749,"['2018-06-26 02:33:57', '2020-04-12 00:00:00']",8_3,,9
8_31,2,restaurant,110,3,8,31,True,Breakfast service was lousy,2018-12-24 12:20:55,-0.4878471791744232,"[0, 520, 870, 1250, 3068]",0.13221044056953749,"['2018-06-26 02:33:57', '2020-04-12 00:00:00']",8_3,,9
8_32,2,restaurant,110,3,8,32,True,After the first dinner other than breakfast which was prepaid I did not eat there,2019-03-26 10:39:02,-0.00908777117729187,"[0, 520, 870, 1250, 3068]",0.13221044056953749,"['2018-06-26 02:33:57', '2020-04-12 00:00:00']",8_3,,9
8_33,2,restaurant,110,3,8,33,True,Dinner Pork Belly tough and almost impossible to cut through skinBreakfast seemed to be a lack of staff tea coffee cups ran out no tea spoons,2019-04-27 09:53:05,-0.4901053309440613,"[0, 520, 870, 1250, 3068]",0.13221044056953749,"['2018-06-26 02:33:57', '2020-04-12 00:00:00']",8_3,,9
8_35,2,restaurant,110,3,8,35,True,Our meal took over an hour to come out after we ordered it and used plates were not removed from our table or others around us,2019-05-14 10:10:48,-0.4956609904766083,"[0, 520, 870, 1250, 3068]",0.13221044056953749,"['2018-06-26 02:33:57', '2020-04-12 00:00:00']",8_3,,9
8_36,2,restaurant,110,3,8,36,True,I ate at the Salt restaurant for breakfast only once and it had a wider selection than the lounge though the quality of what was on offer in the lounge was probably a little higher,2019-06-03 15:08:35,-0.4867958426475525,"[0, 520, 870, 1250, 3068]",0.13221044056953749,"['2018-06-26 02:33:57', '2020-04-12 00:00:00']",8_3,,9
8_37,2,restaurant,110,3,8,37,True,I still have to pay the 34 for a full buffet brekie when I could only have a little of the scrambled egg left over with a slice of bread,2019-08-08 02:15:57,-0.4920896291732788,"[0, 520, 870, 1250, 3068]",0.13221044056953749,"['2018-06-26 02:33:57', '2020-04-12 00:00:00']",8_3,,9
9_1,2,room,110,0,9,1,True,Only thing that needs attention is the lack of water pressure and heat in the shower which only just adequate each of the 3 days i stayed,2015-04-16,-0.4965271949768066,"[0, 835, 4546]",0.18028754130071073,"['2015-01-01', '2017-11-22 07:05:33']",9_0,a,3
9_6,2,room,110,0,9,6,True,Our basic deluxe room overlooked a car park,2017-04-05,-0.4989373981952667,"[0, 835, 4546]",0.18028754130071073,"['2015-01-01', '2017-11-22 07:05:33']",9_0,a,3
9_7,2,room,110,0,9,7,True,Mini bar had non twist top beer bottles but no opener in room,2017-04-23,-0.4983741044998169,"[0, 835, 4546]",0.18028754130071073,"['2015-01-01', '2017-11-22 07:05:33']",9_0,a,3
9_10,2,room,110,1,9,10,True,We enjoy the facilities pool spa and indulged in room service the gentleman who delivered was very friendly accommodating,2018-08-01 01:28:45,0.4998801946640015,"[0, 835, 4546]",0.182384520400135,"['2017-11-22 07:06:15', '2020-04-12 00:00:00']",9_1,,8
9_11,2,room,110,1,9,11,True,The girls had a wonderful time enjoying the comforts of their hotel room enjoying the balcony view wearing the complimentary bath robes utilizing the the swimming pool and enjoying the location close to the city when we went to dinner,2018-09-06 14:32:49,0.4997541308403015,"[0, 835, 4546]",0.182384520400135,"['2017-11-22 07:06:15', '2020-04-12 00:00:00']",9_1,,8
9_12,2,room,110,1,9,12,True,Our room was upgraded at no extra cost,2018-09-13 12:40:30,0.452268123626709,"[0, 835, 4546]",0.182384520400135,"['2017-11-22 07:06:15', '2020-04-12 00:00:00']",9_1,,8
9_14,2,room,110,1,9,14,True,Rooms were comfortable and clean facilities were good,2019-04-18 06:28:54,0.4983671307563782,"[0, 835, 4546]",0.182384520400135,"['2017-11-22 07:06:15', '2020-04-12 00:00:00']",9_1,,8
9_15,2,room,110,1,9,15,True,Our king size room was impeccable,2019-07-15 06:08:56,0.4969653487205506,"[0, 835, 4546]",0.182384520400135,"['2017-11-22 07:06:15', '2020-04-12 00:00:00']",9_1,,8
9_16,2,room,110,1,9,16,True,Comfy bed and nice big bathroom in my room,2019-07-17 06:43:31,0.4991506338119507,"[0, 835, 4546]",0.182384520400135,"['2017-11-22 07:06:15', '2020-04-12 00:00:00']",9_1,,8
9_17,2,room,110,1,9,17,True,The staff were extremely friendly and helpful and the rooms and facilities were first class,2019-08-20 02:42:15,0.4982832670211792,"[0, 835, 4546]",0.182384520400135,"['2017-11-22 07:06:15', '2020-04-12 00:00:00']",9_1,,8
9_19,2,room,110,1,9,19,True,The Food was fantastic the location was on point and the rooms were clean and welcoming,2019-12-23 00:00:00,0.4998669624328613,"[0, 835, 4546]",0.182384520400135,"['2017-11-22 07:06:15', '2020-04-12 00:00:00']",9_1,,8
10_3,2,reception,327,0,10,3,True,The GMs customer service is outstanding friendly genuine greeting,2015-12-30,0.4971991777420044,"[0, 385, 593]",0.41927874110864866,"['2015-01-02', '2017-08-23']",10_0,c,4
10_4,2,reception,327,0,10,4,True,Front desk person Olga exceptionally friendly and helpful courteous and thoughtful had lots of suggestions to make our trip more enjoyable,2016-01-25,0.4990800619125366,"[0, 385, 593]",0.41927874110864866,"['2015-01-02', '2017-08-23']",10_0,c,4
10_6,2,reception,327,0,10,6,True,Good location decoration and nice staff,2016-04-18,0.4996429681777954,"[0, 385, 593]",0.41927874110864866,"['2015-01-02', '2017-08-23']",10_0,c,4
10_8,2,reception,327,0,10,8,True,it is an old hotel but they do the best they can clean rooms comfortable bed and AMAZING STAFF,2016-12-17,0.4987233281135559,"[0, 385, 593]",0.41927874110864866,"['2015-01-02', '2017-08-23']",10_0,c,4
11_0,2,pool,327,0,11,0,True,They have a heated pool which is comfortable to swim in and a jacuzi,2015-02-03,0.4810839295387268,"[0, 115, 146]",0.2047972555609717,"['2015-01-14', '2018-11-02']",11_0,b,8
