,sent_id,file_id,cpt
12_8,8,12,0
12_9,9,12,0
13_0,0,13,0
13_1,1,13,0
13_2,2,13,0
13_3,3,13,0
13_4,4,13,0
13_5,5,13,0
13_6,6,13,0
13_7,7,13,0
13_8,8,13,0
13_9,9,13,0
13_10,10,13,1
13_11,11,13,1
13_12,12,13,1
13_13,13,13,1
13_14,14,13,1
13_15,15,13,1
13_16,16,13,1
13_17,17,13,1
13_18,18,13,1
13_19,19,13,1
14_0,0,14,0
14_1,1,14,0
14_2,2,14,0
14_3,3,14,0
14_4,4,14,0
14_5,5,14,0
14_6,6,14,0
14_7,7,14,0
14_8,8,14,0
14_9,9,14,0
14_10,10,14,1
14_11,11,14,1
14_12,12,14,1
14_13,13,14,1
14_14,14,14,1
14_15,15,14,1
14_16,16,14,1
14_17,17,14,1
14_18,18,14,1
14_19,19,14,1
14_20,20,14,2
14_21,21,14,2
14_22,22,14,2
14_23,23,14,2
14_24,24,14,2
15_0,0,15,0
15_1,1,15,0
15_2,2,15,0
15_3,3,15,0
15_4,4,15,0
15_5,5,15,0
15_6,6,15,0
15_7,7,15,0
15_8,8,15,0
15_9,9,15,0
15_10,10,15,1
15_11,11,15,1
15_12,12,15,1
15_13,13,15,1
15_14,14,15,1
15_15,15,15,1
15_16,16,15,1
15_17,17,15,1
15_18,18,15,1
15_19,19,15,1
16_0,0,16,0
16_1,1,16,0
16_2,2,16,0
16_3,3,16,0
16_4,4,16,0
16_5,5,16,0
16_6,6,16,0
16_7,7,16,0
16_8,8,16,0
16_10,10,16,1
16_11,11,16,1
16_12,12,16,1
16_13,13,16,1
16_14,14,16,1
16_15,15,16,1
16_16,16,16,1
16_17,17,16,1
16_18,18,16,1
16_19,19,16,1
17_0,0,17,0
17_1,1,17,0
17_2,2,17,0
17_3,3,17,0
17_4,4,17,0
17_5,5,17,0
17_6,6,17,0
17_7,7,17,0
17_8,8,17,0
17_9,9,17,0
17_10,10,17,1
17_11,11,17,1
17_12,12,17,1
17_13,13,17,1
17_14,14,17,1
17_15,15,17,1
17_16,16,17,1
17_17,17,17,1
17_18,18,17,1
17_19,19,17,1
18_0,0,18,0
18_1,1,18,0
18_2,2,18,0
18_3,3,18,0
18_4,4,18,0
18_5,5,18,0
18_6,6,18,0
18_7,7,18,0
18_8,8,18,0
18_9,9,18,0
18_10,10,18,1
18_11,11,18,1
18_12,12,18,1
18_13,13,18,1
18_14,14,18,1
18_15,15,18,1
18_16,16,18,1
18_17,17,18,1
18_18,18,18,1
18_19,19,18,1
19_0,0,19,0
19_1,1,19,0
19_2,2,19,0
19_3,3,19,0
19_4,4,19,0
19_5,5,19,0
19_6,6,19,0
19_7,7,19,0
19_8,8,19,0
19_9,9,19,0
19_10,10,19,1
19_11,11,19,1
19_12,12,19,1
19_13,13,19,1
19_14,14,19,1
19_15,15,19,1
19_16,16,19,1
19_17,17,19,1
19_18,18,19,1
19_19,19,19,1
20_0,0,20,0
20_1,1,20,0
20_2,2,20,0
20_3,3,20,0
20_4,4,20,0
20_5,5,20,0
20_6,6,20,0
20_7,7,20,0
20_8,8,20,0
20_9,9,20,0
20_10,10,20,1
20_12,12,20,1
20_13,13,20,1
20_14,14,20,1
20_15,15,20,1
20_16,16,20,1
20_17,17,20,1
20_18,18,20,1
20_19,19,20,1
20_20,20,20,2
20_21,21,20,2
20_22,22,20,2
20_23,23,20,2
20_24,24,20,2
20_25,25,20,2
20_26,26,20,2
20_27,27,20,2
20_28,28,20,2
20_29,29,20,2
21_0,0,21,0
21_1,1,21,0
21_2,2,21,0
21_3,3,21,0
21_4,4,21,0
21_5,5,21,0
21_6,6,21,0
21_7,7,21,0
21_8,8,21,0
21_9,9,21,0
21_10,10,21,1
21_11,11,21,1
21_12,12,21,1
21_13,13,21,1
21_14,14,21,1
21_15,15,21,1
21_16,16,21,1
21_17,17,21,1
21_18,18,21,1
21_19,19,21,1
22_0,0,22,0
22_1,1,22,0
22_2,2,22,0
22_3,3,22,0
22_4,4,22,0
22_5,5,22,0
22_6,6,22,0
22_7,7,22,0
22_8,8,22,0
22_9,9,22,0
22_10,10,22,1
22_11,11,22,1
22_12,12,22,1
22_13,13,22,1
22_14,14,22,1
22_15,15,22,1
22_16,16,22,1
22_17,17,22,1
22_18,18,22,1
22_19,19,22,1
23_0,0,23,0
23_1,1,23,0
23_2,2,23,0
23_3,3,23,0
23_4,4,23,0
23_5,5,23,0
23_6,6,23,0
23_7,7,23,0
23_8,8,23,0
23_9,9,23,0
23_10,10,23,1
23_11,11,23,1
23_12,12,23,1
23_13,13,23,1
23_14,14,23,1
23_15,15,23,1
23_16,16,23,1
23_17,17,23,1
23_18,18,23,1
23_19,19,23,1
23_20,20,23,2
23_21,21,23,2
23_22,22,23,2
23_23,23,23,2
23_24,24,23,2
23_25,25,23,2
23_26,26,23,2
23_27,27,23,2
23_28,28,23,2
23_29,29,23,2
24_0,0,24,0
24_1,1,24,0
24_2,2,24,0
24_3,3,24,0
24_4,4,24,0
24_5,5,24,0
24_7,7,24,0
24_8,8,24,0
24_9,9,24,0
24_10,10,24,1
24_11,11,24,1
24_12,12,24,1
24_13,13,24,1
24_14,14,24,1
24_15,15,24,1
24_16,16,24,1
24_17,17,24,1
24_18,18,24,1
24_19,19,24,1
25_0,0,25,0
25_1,1,25,0
25_2,2,25,0
25_3,3,25,0
25_4,4,25,0
25_5,5,25,0
25_6,6,25,0
25_7,7,25,0
25_8,8,25,0
25_9,9,25,0
25_10,10,25,1
25_11,11,25,1
25_12,12,25,1
25_13,13,25,1
25_14,14,25,1
25_15,15,25,1
25_16,16,25,1
25_17,17,25,1
25_18,18,25,1
25_19,19,25,1
26_0,0,26,0
26_1,1,26,0
26_2,2,26,0
26_3,3,26,0
26_4,4,26,0
26_5,5,26,0
26_6,6,26,0
26_7,7,26,0
26_8,8,26,0
26_9,9,26,0
26_10,10,26,1
26_11,11,26,1
26_12,12,26,1
26_13,13,26,1
26_14,14,26,1
26_15,15,26,1
26_16,16,26,1
26_17,17,26,1
26_18,18,26,1
26_19,19,26,1
27_0,0,27,0
27_1,1,27,0
27_2,2,27,0
27_3,3,27,0
27_4,4,27,0
27_5,5,27,0
27_6,6,27,0
27_7,7,27,0
27_8,8,27,0
27_9,9,27,0
27_10,10,27,1
27_11,11,27,1
27_12,12,27,1
27_13,13,27,1
27_14,14,27,1
27_15,15,27,1
27_16,16,27,1
27_17,17,27,2
27_18,18,27,2
27_19,19,27,2
27_20,20,27,2
27_21,21,27,2
27_22,22,27,2
27_23,23,27,2
27_24,24,27,2
27_25,25,27,2
27_26,26,27,2
28_0,0,28,0
28_1,1,28,0
28_2,2,28,0
28_3,3,28,0
28_4,4,28,0
28_5,5,28,0
28_6,6,28,0
28_7,7,28,0
28_8,8,28,0
28_9,9,28,0
28_10,10,28,1
28_11,11,28,1
28_12,12,28,1
28_13,13,28,1
28_14,14,28,1
28_15,15,28,1
28_16,16,28,1
28_17,17,28,1
28_18,18,28,1
28_19,19,28,1
29_0,0,29,0
29_1,1,29,0
29_2,2,29,0
29_3,3,29,0
29_4,4,29,0
29_5,5,29,0
29_6,6,29,0
29_7,7,29,0
29_8,8,29,0
29_9,9,29,0
29_10,10,29,1
29_11,11,29,1
29_12,12,29,1
29_13,13,29,1
29_14,14,29,1
29_15,15,29,1
29_16,16,29,1
29_17,17,29,1
29_18,18,29,1
29_19,19,29,1
30_0,0,30,0
30_1,1,30,0
30_2,2,30,0
30_3,3,30,0
30_4,4,30,0
30_5,5,30,0
30_6,6,30,0
30_7,7,30,0
30_8,8,30,0
30_9,9,30,0
30_10,10,30,1
30_11,11,30,1
30_12,12,30,1
30_13,13,30,1
30_14,14,30,1
30_15,15,30,1
30_16,16,30,1
30_17,17,30,1
30_18,18,30,2
30_19,19,30,2
30_20,20,30,2
30_21,21,30,2
30_22,22,30,2
30_23,23,30,2
30_24,24,30,2
30_26,26,30,2
30_27,27,30,2
31_0,0,31,0
31_1,1,31,0
31_2,2,31,0
31_3,3,31,0
31_4,4,31,0
31_5,5,31,0
31_6,6,31,0
31_7,7,31,0
31_8,8,31,0
31_9,9,31,0
31_10,10,31,1
31_11,11,31,1
31_12,12,31,1
31_13,13,31,1
31_14,14,31,2
31_15,15,31,2
31_16,16,31,2
31_17,17,31,2
31_18,18,31,2
31_19,19,31,2
31_20,20,31,2
31_21,21,31,2
31_22,22,31,2
31_23,23,31,2
31_24,24,31,3
31_25,25,31,3
31_26,26,31,3
31_27,27,31,3
31_29,29,31,3
31_30,30,31,3
31_31,31,31,3
31_32,32,31,3
31_33,33,31,3
32_0,0,32,0
32_1,1,32,0
32_2,2,32,0
32_3,3,32,0
32_4,4,32,0
32_5,5,32,0
32_6,6,32,0
32_7,7,32,0
32_8,8,32,0
32_9,9,32,0
32_10,10,32,1
32_11,11,32,1
32_12,12,32,1
32_13,13,32,1
32_14,14,32,1
32_15,15,32,1
32_16,16,32,1
32_17,17,32,1
32_18,18,32,1
32_19,19,32,1
33_0,0,33,0
33_1,1,33,0
33_2,2,33,0
33_3,3,33,0
33_4,4,33,0
33_5,5,33,0
33_6,6,33,0
33_7,7,33,0
33_8,8,33,0
33_9,9,33,0
33_10,10,33,1
33_11,11,33,1
33_12,12,33,1
33_13,13,33,1
33_14,14,33,2
33_15,15,33,2
33_16,16,33,2
33_17,17,33,2
33_18,18,33,2
33_19,19,33,3
33_20,20,33,3
33_21,21,33,3
33_22,22,33,3
33_23,23,33,3
33_24,24,33,3
33_25,25,33,3
33_26,26,33,3
33_27,27,33,3
33_28,28,33,3
34_0,0,34,0
34_1,1,34,0
34_2,2,34,0
34_3,3,34,0
34_4,4,34,0
34_5,5,34,0
34_6,6,34,0
34_7,7,34,0
34_8,8,34,0
34_9,9,34,0
34_10,10,34,1
34_11,11,34,1
34_12,12,34,1
34_13,13,34,1
34_14,14,34,2
34_15,15,34,2
34_16,16,34,2
34_17,17,34,2
34_18,18,34,2
34_19,19,34,2
34_20,20,34,2
34_21,21,34,2
34_22,22,34,2
34_23,23,34,2
34_24,24,34,3
34_25,25,34,3
34_26,26,34,3
34_27,27,34,3
34_28,28,34,3
34_29,29,34,3
34_30,30,34,3
34_31,31,34,3
34_32,32,34,3
34_33,33,34,3
34_34,34,34,4
34_35,35,34,4
34_36,36,34,4
34_37,37,34,4
34_38,38,34,4
34_39,39,34,4
34_40,40,34,4
34_41,41,34,4
34_42,42,34,4
34_43,43,34,4
35_0,0,35,0
35_1,1,35,0
35_2,2,35,0
35_3,3,35,0
35_4,4,35,0
35_5,5,35,0
35_6,6,35,0
35_7,7,35,0
35_8,8,35,0
35_9,9,35,0
35_10,10,35,1
35_11,11,35,1
35_12,12,35,1
35_13,13,35,1
35_14,14,35,1
35_15,15,35,1
35_16,16,35,1
35_17,17,35,1
35_18,18,35,1
35_19,19,35,1
36_0,0,36,0
36_1,1,36,0
36_2,2,36,0
36_3,3,36,0
36_4,4,36,0
36_5,5,36,0
36_6,6,36,0
36_7,7,36,0
36_8,8,36,0
36_9,9,36,0
36_10,10,36,1
36_11,11,36,1
36_12,12,36,1
36_13,13,36,1
36_14,14,36,1
36_15,15,36,1
36_16,16,36,1
36_17,17,36,1
36_18,18,36,1
36_19,19,36,1
37_0,0,37,0
37_1,1,37,0
37_2,2,37,0
37_3,3,37,0
37_4,4,37,0
37_5,5,37,0
37_6,6,37,0
37_7,7,37,0
37_8,8,37,0
37_9,9,37,0
37_10,10,37,1
37_11,11,37,1
37_12,12,37,1
37_13,13,37,1
37_14,14,37,1
37_15,15,37,1
37_16,16,37,1
37_17,17,37,1
37_18,18,37,1
37_19,19,37,1
38_0,0,38,0
38_1,1,38,0
38_2,2,38,0
38_3,3,38,0
38_4,4,38,0
38_5,5,38,0
38_6,6,38,0
38_7,7,38,0
38_8,8,38,0
38_9,9,38,0
38_10,10,38,1
38_11,11,38,1
38_12,12,38,1
38_13,13,38,1
38_14,14,38,1
38_15,15,38,1
38_16,16,38,1
38_17,17,38,1
38_18,18,38,1
38_19,19,38,1
39_0,0,39,0
39_1,1,39,0
39_2,2,39,0
39_3,3,39,0
39_4,4,39,0
39_5,5,39,0
39_6,6,39,0
39_7,7,39,0
39_8,8,39,0
39_9,9,39,0
39_10,10,39,1
39_11,11,39,1
39_12,12,39,1
39_13,13,39,1
39_14,14,39,1
39_15,15,39,1
39_16,16,39,1
39_17,17,39,1
39_18,18,39,1
39_19,19,39,1
40_0,0,40,0
40_1,1,40,0
40_2,2,40,0
40_3,3,40,0
40_4,4,40,0
40_5,5,40,0
40_6,6,40,0
40_7,7,40,0
40_8,8,40,0
40_9,9,40,0
40_10,10,40,1
40_11,11,40,1
40_12,12,40,1
40_13,13,40,1
40_14,14,40,2
40_15,15,40,2
40_16,16,40,2
40_17,17,40,2
40_18,18,40,2
40_19,19,40,2
40_20,20,40,2
41_0,0,41,0
41_1,1,41,0
41_2,2,41,0
41_3,3,41,0
41_4,4,41,0
41_5,5,41,0
41_6,6,41,0
41_7,7,41,0
41_8,8,41,0
41_9,9,41,0
41_10,10,41,1
41_11,11,41,1
41_12,12,41,1
41_13,13,41,1
41_14,14,41,1
41_15,15,41,1
41_16,16,41,1
41_17,17,41,1
41_18,18,41,1
41_19,19,41,1
42_0,0,42,0
42_1,1,42,0
42_2,2,42,0
42_3,3,42,0
42_4,4,42,0
42_5,5,42,0
42_6,6,42,0
42_7,7,42,0
42_8,8,42,0
42_9,9,42,0
42_10,10,42,1
42_11,11,42,1
42_12,12,42,1
42_13,13,42,1
42_14,14,42,1
42_15,15,42,1
42_16,16,42,1
42_17,17,42,1
42_18,18,42,1
42_19,19,42,1
43_0,0,43,0
43_1,1,43,0
43_2,2,43,0
43_3,3,43,0
43_4,4,43,0
43_5,5,43,0
43_6,6,43,0
43_7,7,43,0
43_8,8,43,0
43_9,9,43,0
43_10,10,43,1
43_11,11,43,1
43_12,12,43,1
43_13,13,43,1
43_14,14,43,1
43_15,15,43,1
43_16,16,43,1
43_17,17,43,1
43_18,18,43,1
43_19,19,43,1
44_0,0,44,0
44_1,1,44,0
44_2,2,44,0
44_3,3,44,0
44_4,4,44,0
44_5,5,44,0
44_6,6,44,0
44_7,7,44,0
44_8,8,44,0
44_9,9,44,0
44_10,10,44,1
44_11,11,44,1
44_12,12,44,1
44_13,13,44,1
44_14,14,44,1
44_15,15,44,1
44_16,16,44,1
44_17,17,44,1
44_18,18,44,1
44_19,19,44,1
44_20,20,44,2
44_21,21,44,2
44_22,22,44,2
44_23,23,44,2
44_24,24,44,2
44_25,25,44,2
44_26,26,44,2
44_27,27,44,2
44_28,28,44,2
44_29,29,44,2
45_0,0,45,0
45_1,1,45,0
45_2,2,45,0
45_3,3,45,0
45_4,4,45,0
45_5,5,45,0
45_6,6,45,0
45_7,7,45,0
45_8,8,45,0
45_9,9,45,0
45_10,10,45,1
45_11,11,45,1
45_12,12,45,1
45_13,13,45,1
45_14,14,45,1
45_15,15,45,1
45_16,16,45,1
45_17,17,45,1
45_18,18,45,1
45_19,19,45,1
45_21,21,45,2
45_22,22,45,2
45_23,23,45,2
45_24,24,45,2
45_25,25,45,3
45_26,26,45,3
45_27,27,45,3
45_28,28,45,3
45_29,29,45,3
45_30,30,45,3
45_31,31,45,3
45_32,32,45,3
45_33,33,45,3
45_34,34,45,3
46_0,0,46,0
46_1,1,46,0
46_2,2,46,0
46_3,3,46,0
46_4,4,46,0
46_5,5,46,0
46_6,6,46,0
46_7,7,46,0
46_8,8,46,0
46_9,9,46,0
46_10,10,46,1
46_11,11,46,1
46_12,12,46,1
46_13,13,46,1
46_14,14,46,1
46_15,15,46,2
46_16,16,46,2
46_17,17,46,2
46_18,18,46,2
46_19,19,46,2
46_20,20,46,2
46_21,21,46,2
46_22,22,46,2
46_23,23,46,2
46_24,24,46,2
46_25,25,46,3
46_26,26,46,3
46_27,27,46,3
46_28,28,46,3
46_29,29,46,3
46_30,30,46,3
46_31,31,46,3
46_32,32,46,3
46_33,33,46,3
46_34,34,46,3
47_0,0,47,0
47_1,1,47,0
47_2,2,47,0
47_3,3,47,0
47_4,4,47,0
47_5,5,47,0
47_6,6,47,0
47_7,7,47,0
47_8,8,47,0
47_9,9,47,0
47_10,10,47,1
47_11,11,47,1
47_12,12,47,1
47_13,13,47,1
47_14,14,47,1
47_15,15,47,1
47_16,16,47,1
47_17,17,47,1
47_18,18,47,1
47_19,19,47,1
48_0,0,48,0
48_1,1,48,0
48_2,2,48,0
48_3,3,48,0
48_4,4,48,0
48_5,5,48,0
48_6,6,48,0
48_7,7,48,0
48_8,8,48,0
48_9,9,48,0
48_10,10,48,1
48_11,11,48,1
48_12,12,48,1
48_13,13,48,1
48_14,14,48,1
48_15,15,48,1
48_16,16,48,1
48_17,17,48,1
48_18,18,48,1
48_19,19,48,1
49_0,0,49,0
49_1,1,49,0
49_2,2,49,0
49_3,3,49,0
49_4,4,49,0
49_5,5,49,0
49_6,6,49,0
49_7,7,49,0
49_8,8,49,0
49_9,9,49,0
49_10,10,49,1
49_11,11,49,1
49_12,12,49,1
49_13,13,49,1
49_14,14,49,1
49_15,15,49,1
49_16,16,49,1
49_17,17,49,1
49_18,18,49,1
49_19,19,49,1
49_20,20,49,2
49_21,21,49,2
49_22,22,49,2
49_23,23,49,2
49_24,24,49,2
49_25,25,49,2
49_26,26,49,2
49_27,27,49,2
49_28,28,49,2
49_29,29,49,2
49_30,30,49,3
49_31,31,49,3
49_32,32,49,3
49_33,33,49,3
49_34,34,49,3
49_35,35,49,3
49_36,36,49,3
49_37,37,49,3
49_38,38,49,3
49_39,39,49,3
49_40,40,49,4
49_41,41,49,4
49_42,42,49,4
49_43,43,49,4
49_44,44,49,4
49_45,45,49,4
49_46,46,49,4
49_47,47,49,4
49_48,48,49,4
49_49,49,49,4
50_0,0,50,0
50_1,1,50,0
50_2,2,50,0
50_3,3,50,0
50_4,4,50,0
50_5,5,50,0
50_6,6,50,0
50_7,7,50,0
50_8,8,50,0
50_9,9,50,0
50_10,10,50,1
50_11,11,50,1
50_12,12,50,1
50_13,13,50,1
50_14,14,50,1
50_15,15,50,1
50_16,16,50,1
50_17,17,50,1
50_18,18,50,1
50_19,19,50,1
51_0,0,51,0
51_1,1,51,0
51_2,2,51,0
51_3,3,51,0
51_4,4,51,0
51_5,5,51,0
51_6,6,51,0
51_7,7,51,0
51_8,8,51,0
51_9,9,51,0
51_10,10,51,1
51_11,11,51,1
51_12,12,51,1
51_13,13,51,1
51_14,14,51,1
51_15,15,51,1
51_16,16,51,1
51_17,17,51,1
51_18,18,51,1
51_19,19,51,2
51_20,20,51,2
51_21,21,51,2
51_22,22,51,2
51_25,25,51,2
51_26,26,51,2
51_27,27,51,2
51_28,28,51,2
51_29,29,51,3
51_30,30,51,3
51_31,31,51,3
51_32,32,51,3
51_33,33,51,3
51_34,34,51,3
51_35,35,51,3
51_36,36,51,3
51_37,37,51,3
51_38,38,51,3
52_0,0,52,0
52_1,1,52,0
52_2,2,52,0
52_3,3,52,0
52_4,4,52,0
52_5,5,52,0
52_6,6,52,0
52_7,7,52,0
52_8,8,52,0
52_9,9,52,0
52_10,10,52,1
52_11,11,52,1
52_12,12,52,1
52_13,13,52,1
52_14,14,52,1
52_15,15,52,1
52_16,16,52,1
52_17,17,52,1
52_18,18,52,1
52_19,19,52,1
52_20,20,52,2
52_21,21,52,2
52_22,22,52,2
52_23,23,52,2
52_24,24,52,2
52_25,25,52,2
52_26,26,52,2
52_27,27,52,2
52_28,28,52,2
52_29,29,52,2
53_0,0,53,0
53_1,1,53,0
53_2,2,53,0
53_3,3,53,0
53_4,4,53,0
53_5,5,53,0
53_6,6,53,0
53_7,7,53,0
53_8,8,53,0
53_9,9,53,0
54_0,0,54,0
54_1,1,54,0
54_2,2,54,0
54_3,3,54,0
54_4,4,54,0
54_5,5,54,0
54_6,6,54,0
54_7,7,54,0
54_8,8,54,0
54_9,9,54,0
54_10,10,54,1
54_11,11,54,1
54_12,12,54,1
54_13,13,54,1
54_14,14,54,1
54_15,15,54,1
54_16,16,54,1
54_17,17,54,1
54_18,18,54,1
54_19,19,54,1
55_0,0,55,0
55_1,1,55,0
55_2,2,55,0
55_3,3,55,0
55_4,4,55,0
55_5,5,55,0
55_6,6,55,0
55_7,7,55,0
55_8,8,55,0
55_9,9,55,0
55_10,10,55,1
55_11,11,55,1
55_13,13,55,1
55_14,14,55,1
55_15,15,55,1
55_16,16,55,1
55_17,17,55,1
55_18,18,55,1
55_19,19,55,1
56_0,0,56,0
56_1,1,56,0
56_2,2,56,0
56_3,3,56,0
56_4,4,56,0
56_5,5,56,0
56_6,6,56,0
56_7,7,56,0
56_8,8,56,0
56_9,9,56,0
56_10,10,56,1
56_11,11,56,1
56_12,12,56,1
56_13,13,56,1
56_14,14,56,1
56_15,15,56,1
56_16,16,56,1
56_17,17,56,1
56_18,18,56,1
56_19,19,56,1
57_0,0,57,0
57_1,1,57,0
57_2,2,57,0
57_3,3,57,0
57_4,4,57,0
57_5,5,57,0
57_6,6,57,0
57_7,7,57,0
57_8,8,57,0
57_9,9,57,0
57_10,10,57,1
57_11,11,57,1
57_12,12,57,1
57_13,13,57,1
57_14,14,57,1
57_15,15,57,1
57_16,16,57,1
57_17,17,57,1
57_18,18,57,1
57_19,19,57,1
58_0,0,58,0
58_1,1,58,0
58_2,2,58,0
58_3,3,58,0
58_4,4,58,0
58_5,5,58,0
58_6,6,58,0
58_7,7,58,0
58_8,8,58,0
58_9,9,58,0
58_10,10,58,1
58_11,11,58,1
58_12,12,58,1
58_13,13,58,1
