,Edita,Andrei,Meli,Alina,Liviu,Oana,Silviu,Mada
254_3,3.0,,,3.0,,,,
254_4,3.0,,,3.0,,,,
254_5,1.0,,,3.0,,,,
254_6,3.0,,,3.0,,,,
254_7,3.0,,,3.0,,,,
254_8,3.0,,,3.0,,,,
254_9,3.0,,,3.0,,,,
254_10,3.0,,,1.0,,,,
254_11,1.0,,,3.0,,,,
254_12,3.0,,,1.0,,,,
254_13,3.0,,,3.0,,,,
254_14,3.0,,,3.0,,,,
254_15,3.0,,,3.0,,,,
254_16,3.0,,,3.0,,,,
254_17,1.0,,,1.0,,,,
254_18,3.0,,,1.0,,,,
254_19,3.0,,,3.0,,,,
254_20,3.0,,,3.0,,,,
254_21,3.0,,,3.0,,,,
254_22,3.0,,,3.0,,,,
254_23,3.0,,,3.0,,,,
254_24,3.0,,,3.0,,,,
169_0,3.0,,1.0,,,,,
169_1,3.0,,3.0,,,,,
169_2,3.0,,3.0,,,,,
169_3,3.0,,3.0,,,,,
169_4,1.0,,1.0,,,,,
169_5,1.0,,1.0,,,,,
169_6,1.0,,1.0,,,,,
169_7,1.0,,1.0,,,,,
169_8,3.0,,3.0,,,,,
169_9,1.0,,3.0,,,,,
169_10,3.0,,3.0,,,,,
169_11,3.0,,3.0,,,,,
169_12,3.0,,3.0,,,,,
169_13,3.0,,3.0,,,,,
169_14,3.0,,3.0,,,,,
169_15,3.0,,3.0,,,,,
169_16,3.0,,3.0,,,,,
169_17,3.0,,3.0,,,,,
169_18,3.0,,3.0,,,,,
169_19,3.0,,3.0,,,,,
255_0,1.0,,,3.0,,,,
255_1,1.0,,,3.0,,,,
255_2,1.0,,,3.0,,,,
255_3,1.0,,,3.0,,,,
255_4,3.0,,,3.0,,,,
255_5,3.0,,,3.0,,,,
255_6,1.0,,,1.0,,,,
255_7,3.0,,,1.0,,,,
255_8,3.0,,,3.0,,,,
255_9,3.0,,,3.0,,,,
255_10,3.0,,,3.0,,,,
255_11,3.0,,,3.0,,,,
255_12,3.0,,,3.0,,,,
255_13,3.0,,,3.0,,,,
255_14,1.0,,,3.0,,,,
255_15,3.0,,,3.0,,,,
255_16,3.0,,,3.0,,,,
256_0,3.0,,,3.0,,,,
256_1,3.0,,,3.0,,,,
256_2,3.0,,,3.0,,,,
256_3,1.0,,,3.0,,,,
256_4,3.0,,,3.0,,,,
256_5,3.0,,,3.0,,,,
256_6,1.0,,,3.0,,,,
256_7,3.0,,,3.0,,,,
256_8,3.0,,,3.0,,,,
256_9,1.0,,,3.0,,,,
256_10,3.0,,,3.0,,,,
256_11,3.0,,,3.0,,,,
256_12,3.0,,,3.0,,,,
256_13,1.0,,,1.0,,,,
256_14,3.0,,,3.0,,,,
256_15,3.0,,,3.0,,,,
256_16,3.0,,,3.0,,,,
256_17,3.0,,,3.0,,,,
256_18,3.0,,,3.0,,,,
256_19,3.0,,,3.0,,,,
257_0,3.0,,,3.0,,,,
257_1,3.0,,,3.0,,,,
257_2,3.0,,,3.0,,,,
257_3,3.0,,,3.0,,,,
257_4,3.0,,,3.0,,,,
257_5,3.0,,,3.0,,,,
257_6,3.0,,,3.0,,,,
257_7,1.0,,,1.0,,,,
257_8,3.0,,,3.0,,,,
257_9,3.0,,,3.0,,,,
257_10,3.0,,,3.0,,,,
257_11,1.0,,,3.0,,,,
257_12,1.0,,,3.0,,,,
257_13,3.0,,,3.0,,,,
257_14,3.0,,,3.0,,,,
257_15,3.0,,,1.0,,,,
257_16,3.0,,,1.0,,,,
257_17,3.0,,,1.0,,,,
257_18,1.0,,,1.0,,,,
257_19,1.0,,,3.0,,,,
257_20,3.0,,,3.0,,,,
257_21,3.0,,,3.0,,,,
257_22,3.0,,,3.0,,,,
257_23,1.0,,,1.0,,,,
257_24,3.0,,,1.0,,,,
257_25,3.0,,,3.0,,,,
257_26,3.0,,,3.0,,,,
257_27,3.0,,,3.0,,,,
257_28,3.0,,,3.0,,,,
257_29,3.0,,,3.0,,,,
258_0,3.0,,,3.0,,,,
258_1,1.0,,,3.0,,,,
258_2,1.0,,,1.0,,,,
258_3,3.0,,,3.0,,,,
258_4,3.0,,,3.0,,,,
258_5,3.0,,,3.0,,,,
258_6,3.0,,,3.0,,,,
258_7,3.0,,,3.0,,,,
258_8,3.0,,,3.0,,,,
258_9,3.0,,,3.0,,,,
258_10,3.0,,,1.0,,,,
258_11,3.0,,,3.0,,,,
258_12,3.0,,,3.0,,,,
258_13,3.0,,,3.0,,,,
258_14,3.0,,,3.0,,,,
258_15,3.0,,,3.0,,,,
258_16,3.0,,,3.0,,,,
258_17,3.0,,,3.0,,,,
258_18,3.0,,,3.0,,,,
258_19,3.0,,,3.0,,,,
170_0,3.0,,3.0,,,,,
170_1,3.0,,3.0,,,,,
170_2,1.0,,3.0,,,,,
170_3,3.0,,3.0,,,,,
170_4,3.0,,3.0,,,,,
170_5,3.0,,3.0,,,,,
170_6,3.0,,3.0,,,,,
170_7,3.0,,3.0,,,,,
170_8,3.0,,3.0,,,,,
170_9,3.0,,3.0,,,,,
170_10,3.0,,3.0,,,,,
170_11,3.0,,3.0,,,,,
170_12,3.0,,3.0,,,,,
170_14,3.0,,3.0,,,,,
170_15,3.0,,1.0,,,,,
170_16,3.0,,3.0,,,,,
170_17,3.0,,3.0,,,,,
170_18,1.0,,3.0,,,,,
170_19,3.0,,3.0,,,,,
170_20,3.0,,3.0,,,,,
170_21,1.0,,1.0,,,,,
170_22,1.0,,1.0,,,,,
170_23,3.0,,3.0,,,,,
170_24,1.0,,1.0,,,,,
170_25,3.0,,3.0,,,,,
170_26,3.0,,3.0,,,,,
170_27,3.0,,3.0,,,,,
170_28,3.0,,3.0,,,,,
170_29,1.0,,3.0,,,,,
170_30,3.0,,3.0,,,,,
170_31,3.0,,3.0,,,,,
170_32,3.0,,3.0,,,,,
170_33,3.0,,3.0,,,,,
170_34,3.0,,3.0,,,,,
259_0,1.0,,,3.0,,,,
259_1,3.0,,,3.0,,,,
259_2,3.0,,,3.0,,,,
259_3,3.0,,,3.0,,,,
259_4,3.0,,,3.0,,,,
259_5,3.0,,,3.0,,,,
259_6,3.0,,,3.0,,,,
259_7,1.0,,,1.0,,,,
259_8,1.0,,,3.0,,,,
259_9,3.0,,,3.0,,,,
259_10,3.0,,,3.0,,,,
259_11,3.0,,,3.0,,,,
259_12,3.0,,,3.0,,,,
259_13,3.0,,,1.0,,,,
259_14,3.0,,,3.0,,,,
259_15,3.0,,,3.0,,,,
259_16,3.0,,,3.0,,,,
259_17,3.0,,,3.0,,,,
259_18,3.0,,,3.0,,,,
259_19,1.0,,,1.0,,,,
260_0,3.0,,,3.0,,,,
260_1,3.0,,,3.0,,,,
260_2,3.0,,,1.0,,,,
260_3,3.0,,,3.0,,,,
260_4,3.0,,,3.0,,,,
260_5,1.0,,,1.0,,,,
260_6,1.0,,,1.0,,,,
260_7,3.0,,,3.0,,,,
260_8,3.0,,,3.0,,,,
260_9,3.0,,,3.0,,,,
261_0,3.0,,,3.0,,,,
261_1,3.0,,,3.0,,,,
261_2,3.0,,,3.0,,,,
261_3,3.0,,,3.0,,,,
261_4,3.0,,,3.0,,,,
261_5,3.0,,,3.0,,,,
261_6,3.0,,,3.0,,,,
261_7,3.0,,,3.0,,,,
261_8,3.0,,,3.0,,,,
261_9,3.0,,,3.0,,,,
261_10,3.0,,,3.0,,,,
261_11,1.0,,,1.0,,,,
261_12,1.0,,,3.0,,,,
261_13,3.0,,,3.0,,,,
261_14,1.0,,,1.0,,,,
261_15,3.0,,,3.0,,,,
261_16,3.0,,,3.0,,,,
261_17,3.0,,,3.0,,,,
261_18,1.0,,,3.0,,,,
261_19,1.0,,,1.0,,,,
171_0,3.0,,3.0,,,,,
171_1,3.0,,3.0,,,,,
171_2,3.0,,1.0,,,,,
171_3,3.0,,3.0,,,,,
171_4,3.0,,1.0,,,,,
171_5,3.0,,3.0,,,,,
171_6,3.0,,3.0,,,,,
171_7,3.0,,3.0,,,,,
171_8,3.0,,3.0,,,,,
171_9,3.0,,3.0,,,,,
171_10,3.0,,3.0,,,,,
171_11,3.0,,3.0,,,,,
171_12,3.0,,3.0,,,,,
171_13,1.0,,1.0,,,,,
171_14,3.0,,3.0,,,,,
171_16,3.0,,3.0,,,,,
171_17,1.0,,1.0,,,,,
171_18,1.0,,1.0,,,,,
171_19,1.0,,1.0,,,,,
171_20,3.0,,3.0,,,,,
171_21,3.0,,3.0,,,,,
171_22,3.0,,3.0,,,,,
171_23,3.0,,3.0,,,,,
171_24,3.0,,3.0,,,,,
171_26,3.0,,3.0,,,,,
171_28,3.0,,3.0,,,,,
171_29,3.0,,3.0,,,,,
262_0,3.0,,,3.0,,,,
262_1,3.0,,,3.0,,,,
262_2,3.0,,,3.0,,,,
262_3,3.0,,,3.0,,,,
262_4,3.0,,,3.0,,,,
262_5,3.0,,,3.0,,,,
262_6,3.0,,,3.0,,,,
262_7,3.0,,,3.0,,,,
262_8,3.0,,,3.0,,,,
262_9,3.0,,,3.0,,,,
262_10,3.0,,,3.0,,,,
262_11,3.0,,,3.0,,,,
262_12,3.0,,,3.0,,,,
262_13,3.0,,,3.0,,,,
262_14,3.0,,,3.0,,,,
262_15,3.0,,,3.0,,,,
262_16,3.0,,,3.0,,,,
262_17,3.0,,,3.0,,,,
262_18,3.0,,,3.0,,,,
262_19,3.0,,,3.0,,,,
263_0,3.0,,,3.0,,,,
263_1,1.0,,,3.0,,,,
263_2,3.0,,,3.0,,,,
263_3,3.0,,,3.0,,,,
263_4,1.0,,,1.0,,,,
263_5,3.0,,,3.0,,,,
263_6,1.0,,,3.0,,,,
263_7,3.0,,,3.0,,,,
263_8,1.0,,,1.0,,,,
263_9,3.0,,,3.0,,,,
263_10,3.0,,,3.0,,,,
263_11,3.0,,,3.0,,,,
263_12,3.0,,,3.0,,,,
263_13,3.0,,,3.0,,,,
263_14,3.0,,,3.0,,,,
263_15,3.0,,,3.0,,,,
263_16,3.0,,,3.0,,,,
263_17,3.0,,,3.0,,,,
263_18,3.0,,,3.0,,,,
263_19,3.0,,,3.0,,,,
263_20,3.0,,,3.0,,,,
263_21,3.0,,,3.0,,,,
263_22,3.0,,,3.0,,,,
263_23,3.0,,,3.0,,,,
263_24,3.0,,,3.0,,,,
263_25,3.0,,,3.0,,,,
263_26,3.0,,,3.0,,,,
263_27,3.0,,,3.0,,,,
263_28,3.0,,,3.0,,,,
264_0,1.0,,,3.0,,,,
264_1,3.0,,,3.0,,,,
264_2,3.0,,,3.0,,,,
264_3,3.0,,,3.0,,,,
264_4,3.0,,,3.0,,,,
264_5,3.0,,,3.0,,,,
264_6,3.0,,,1.0,,,,
264_7,3.0,,,3.0,,,,
264_8,3.0,,,3.0,,,,
264_9,3.0,,,3.0,,,,
264_10,3.0,,,3.0,,,,
264_11,3.0,,,3.0,,,,
264_12,1.0,,,3.0,,,,
264_13,3.0,,,3.0,,,,
264_14,3.0,,,3.0,,,,
264_15,3.0,,,3.0,,,,
264_16,3.0,,,3.0,,,,
264_17,1.0,,,3.0,,,,
264_18,3.0,,,3.0,,,,
264_19,3.0,,,3.0,,,,
265_0,3.0,,,3.0,,,,
265_1,3.0,,,3.0,,,,
265_2,3.0,,,3.0,,,,
265_3,3.0,,,3.0,,,,
265_4,3.0,,,3.0,,,,
265_5,3.0,,,3.0,,,,
265_6,3.0,,,3.0,,,,
265_7,3.0,,,3.0,,,,
265_8,3.0,,,3.0,,,,
265_9,3.0,,,3.0,,,,
266_0,3.0,,,3.0,,,,
266_1,3.0,,,3.0,,,,
266_2,3.0,,,3.0,,,,
266_3,3.0,,,3.0,,,,
266_4,3.0,,,3.0,,,,
266_5,3.0,,,3.0,,,,
266_6,3.0,,,3.0,,,,
266_7,3.0,,,1.0,,,,
266_8,3.0,,,3.0,,,,
266_9,3.0,,,3.0,,,,
266_10,3.0,,,3.0,,,,
266_11,3.0,,,3.0,,,,
266_12,1.0,,,1.0,,,,
266_13,3.0,,,3.0,,,,
266_14,3.0,,,3.0,,,,
266_15,3.0,,,3.0,,,,
266_16,3.0,,,3.0,,,,
266_17,3.0,,,3.0,,,,
266_18,3.0,,,3.0,,,,
266_19,3.0,,,3.0,,,,
172_0,3.0,,3.0,,,,,
172_1,3.0,,3.0,,,,,
172_2,3.0,,3.0,,,,,
172_3,3.0,,3.0,,,,,
172_4,3.0,,3.0,,,,,
172_5,3.0,,3.0,,,,,
172_6,3.0,,3.0,,,,,
172_7,3.0,,3.0,,,,,
172_8,3.0,,3.0,,,,,
172_9,3.0,,3.0,,,,,
172_10,1.0,,1.0,,,,,
172_11,3.0,,3.0,,,,,
172_12,1.0,,1.0,,,,,
172_13,3.0,,3.0,,,,,
172_14,3.0,,3.0,,,,,
172_15,3.0,,1.0,,,,,
172_16,3.0,,3.0,,,,,
172_17,1.0,,1.0,,,,,
172_18,3.0,,3.0,,,,,
172_19,3.0,,3.0,,,,,
172_20,3.0,,3.0,,,,,
172_21,1.0,,1.0,,,,,
172_23,1.0,,1.0,,,,,
267_0,1.0,,,3.0,,,,
267_1,1.0,,,3.0,,,,
267_2,3.0,,,3.0,,,,
267_3,3.0,,,3.0,,,,
267_4,3.0,,,3.0,,,,
267_5,3.0,,,3.0,,,,
267_6,3.0,,,3.0,,,,
267_7,3.0,,,3.0,,,,
267_8,3.0,,,3.0,,,,
267_9,3.0,,,3.0,,,,
268_0,3.0,,,3.0,,,,
268_1,3.0,,,3.0,,,,
268_2,3.0,,,3.0,,,,
268_3,3.0,,,3.0,,,,
268_4,3.0,,,3.0,,,,
268_5,3.0,,,3.0,,,,
268_6,3.0,,,3.0,,,,
268_7,3.0,,,3.0,,,,
268_8,3.0,,,3.0,,,,
268_9,3.0,,,3.0,,,,
268_10,3.0,,,3.0,,,,
268_11,3.0,,,3.0,,,,
268_12,1.0,,,3.0,,,,
268_13,3.0,,,3.0,,,,
268_14,3.0,,,3.0,,,,
268_15,1.0,,,3.0,,,,
268_16,3.0,,,3.0,,,,
268_17,3.0,,,3.0,,,,
268_18,1.0,,,3.0,,,,
268_19,3.0,,,3.0,,,,
268_20,3.0,,,3.0,,,,
268_21,3.0,,,3.0,,,,
268_22,3.0,,,3.0,,,,
268_23,3.0,,,3.0,,,,
268_24,3.0,,,3.0,,,,
268_25,3.0,,,3.0,,,,
268_26,3.0,,,3.0,,,,
268_27,3.0,,,3.0,,,,
268_28,3.0,,,3.0,,,,
173_0,3.0,,3.0,,,,,
173_1,3.0,,1.0,,,,,
173_2,3.0,,3.0,,,,,
173_3,3.0,,3.0,,,,,
173_4,3.0,,3.0,,,,,
173_5,3.0,,3.0,,,,,
173_6,3.0,,1.0,,,,,
173_7,3.0,,3.0,,,,,
173_8,3.0,,3.0,,,,,
173_9,3.0,,1.0,,,,,
173_10,3.0,,3.0,,,,,
173_11,3.0,,3.0,,,,,
173_12,3.0,,3.0,,,,,
173_13,3.0,,3.0,,,,,
173_14,3.0,,3.0,,,,,
173_15,3.0,,3.0,,,,,
173_16,3.0,,3.0,,,,,
173_17,3.0,,3.0,,,,,
173_18,3.0,,3.0,,,,,
173_19,3.0,,3.0,,,,,
174_0,1.0,,1.0,,,,,
174_1,1.0,,1.0,,,,,
174_2,3.0,,1.0,,,,,
174_3,1.0,,3.0,,,,,
174_4,1.0,,1.0,,,,,
174_5,1.0,,3.0,,,,,
174_6,3.0,,3.0,,,,,
174_7,3.0,,3.0,,,,,
174_8,3.0,,3.0,,,,,
174_9,3.0,,3.0,,,,,
174_10,3.0,,3.0,,,,,
174_11,3.0,,3.0,,,,,
174_12,3.0,,3.0,,,,,
174_13,3.0,,3.0,,,,,
174_14,3.0,,3.0,,,,,
174_15,3.0,,3.0,,,,,
174_16,3.0,,3.0,,,,,
174_17,3.0,,3.0,,,,,
174_18,3.0,,3.0,,,,,
174_19,3.0,,3.0,,,,,
175_0,3.0,,3.0,,,,,
175_1,3.0,,3.0,,,,,
175_2,3.0,,3.0,,,,,
175_3,3.0,,3.0,,,,,
175_4,3.0,,3.0,,,,,
175_5,3.0,,3.0,,,,,
175_6,3.0,,3.0,,,,,
175_7,3.0,,3.0,,,,,
175_8,1.0,,3.0,,,,,
175_9,1.0,,1.0,,,,,
175_10,3.0,,3.0,,,,,
175_11,3.0,,3.0,,,,,
175_12,3.0,,3.0,,,,,
175_13,3.0,,3.0,,,,,
175_14,3.0,,3.0,,,,,
175_15,3.0,,3.0,,,,,
175_16,3.0,,3.0,,,,,
175_17,3.0,,3.0,,,,,
175_18,3.0,,3.0,,,,,
175_19,3.0,,3.0,,,,,
269_0,3.0,,,3.0,,,,
269_1,3.0,,,3.0,,,,
269_2,3.0,,,3.0,,,,
269_3,3.0,,,3.0,,,,
269_4,3.0,,,3.0,,,,
269_5,3.0,,,3.0,,,,
269_6,3.0,,,3.0,,,,
269_7,3.0,,,3.0,,,,
269_8,3.0,,,3.0,,,,
269_9,3.0,,,3.0,,,,
269_10,3.0,,,3.0,,,,
269_11,1.0,,,1.0,,,,
269_12,3.0,,,3.0,,,,
269_13,3.0,,,3.0,,,,
269_14,3.0,,,3.0,,,,
269_15,3.0,,,3.0,,,,
269_16,3.0,,,3.0,,,,
269_17,1.0,,,1.0,,,,
269_18,3.0,,,3.0,,,,
269_19,3.0,,,1.0,,,,
269_20,3.0,,,3.0,,,,
269_21,1.0,,,1.0,,,,
269_22,3.0,,,3.0,,,,
269_23,1.0,,,1.0,,,,
269_24,3.0,,,3.0,,,,
269_25,3.0,,,3.0,,,,
269_26,1.0,,,1.0,,,,
269_27,1.0,,,3.0,,,,
269_28,3.0,,,3.0,,,,
269_29,1.0,,,3.0,,,,
269_30,3.0,,,3.0,,,,
269_31,3.0,,,3.0,,,,
269_32,3.0,,,3.0,,,,
269_33,3.0,,,3.0,,,,
269_34,3.0,,,1.0,,,,
269_35,3.0,,,3.0,,,,
269_36,3.0,,,3.0,,,,
269_37,3.0,,,3.0,,,,
269_38,3.0,,,3.0,,,,
269_39,1.0,,,1.0,,,,
270_0,3.0,,,3.0,,,,
270_1,3.0,,,3.0,,,,
270_2,3.0,,,3.0,,,,
270_3,3.0,,,3.0,,,,
270_4,3.0,,,3.0,,,,
270_5,3.0,,,1.0,,,,
270_6,3.0,,,1.0,,,,
270_7,3.0,,,1.0,,,,
270_8,3.0,,,3.0,,,,
270_9,3.0,,,3.0,,,,
270_10,3.0,,,3.0,,,,
270_11,3.0,,,3.0,,,,
270_12,3.0,,,3.0,,,,
270_13,3.0,,,3.0,,,,
270_14,1.0,,,1.0,,,,
270_15,3.0,,,3.0,,,,
270_16,1.0,,,3.0,,,,
270_17,3.0,,,3.0,,,,
270_18,3.0,,,3.0,,,,
270_19,1.0,,,1.0,,,,
270_20,1.0,,,1.0,,,,
270_21,1.0,,,1.0,,,,
270_22,3.0,,,3.0,,,,
270_23,3.0,,,1.0,,,,
270_24,3.0,,,3.0,,,,
270_25,1.0,,,1.0,,,,
270_26,3.0,,,3.0,,,,
271_0,3.0,,,3.0,,,,
271_1,1.0,,,3.0,,,,
271_2,1.0,,,1.0,,,,
271_3,3.0,,,3.0,,,,
271_4,3.0,,,3.0,,,,
271_5,3.0,,,3.0,,,,
271_6,3.0,,,3.0,,,,
271_7,3.0,,,3.0,,,,
271_8,3.0,,,3.0,,,,
271_9,3.0,,,3.0,,,,
271_10,1.0,,,1.0,,,,
271_11,3.0,,,3.0,,,,
271_12,1.0,,,3.0,,,,
271_13,3.0,,,3.0,,,,
271_14,3.0,,,3.0,,,,
271_15,3.0,,,3.0,,,,
271_16,3.0,,,3.0,,,,
271_17,1.0,,,1.0,,,,
271_18,3.0,,,3.0,,,,
271_19,3.0,,,3.0,,,,
176_0,3.0,,3.0,,,,,
176_1,3.0,,3.0,,,,,
176_2,3.0,,3.0,,,,,
176_3,1.0,,3.0,,,,,
176_4,1.0,,1.0,,,,,
176_5,1.0,,1.0,,,,,
176_6,3.0,,3.0,,,,,
176_7,1.0,,3.0,,,,,
176_8,3.0,,3.0,,,,,
176_9,1.0,,1.0,,,,,
176_10,3.0,,3.0,,,,,
176_11,3.0,,3.0,,,,,
176_12,3.0,,3.0,,,,,
176_13,3.0,,3.0,,,,,
176_14,3.0,,3.0,,,,,
176_15,3.0,,3.0,,,,,
176_16,3.0,,3.0,,,,,
176_17,3.0,,3.0,,,,,
176_18,3.0,,3.0,,,,,
176_19,3.0,,3.0,,,,,
177_0,1.0,,1.0,,,,,
177_1,3.0,,3.0,,,,,
177_2,1.0,,3.0,,,,,
177_3,3.0,,1.0,,,,,
177_4,3.0,,3.0,,,,,
177_5,1.0,,1.0,,,,,
177_6,3.0,,1.0,,,,,
177_7,3.0,,3.0,,,,,
177_8,3.0,,3.0,,,,,
177_9,3.0,,1.0,,,,,
177_10,3.0,,3.0,,,,,
177_11,3.0,,3.0,,,,,
177_12,3.0,,3.0,,,,,
177_13,3.0,,3.0,,,,,
177_14,3.0,,3.0,,,,,
177_15,3.0,,3.0,,,,,
177_16,3.0,,3.0,,,,,
177_17,3.0,,3.0,,,,,
177_18,3.0,,3.0,,,,,
177_19,3.0,,3.0,,,,,
272_0,3.0,,,3.0,,,,
272_1,1.0,,,1.0,,,,
272_2,3.0,,,3.0,,,,
272_3,1.0,,,1.0,,,,
272_4,3.0,,,3.0,,,,
272_5,3.0,,,3.0,,,,
272_6,3.0,,,3.0,,,,
272_7,3.0,,,3.0,,,,
272_8,3.0,,,3.0,,,,
272_9,1.0,,,1.0,,,,
272_10,3.0,,,3.0,,,,
272_11,3.0,,,3.0,,,,
272_12,3.0,,,3.0,,,,
272_13,1.0,,,1.0,,,,
272_14,3.0,,,3.0,,,,
272_15,1.0,,,1.0,,,,
272_16,3.0,,,3.0,,,,
272_17,3.0,,,3.0,,,,
272_18,1.0,,,3.0,,,,
272_19,1.0,,,1.0,,,,
178_0,1.0,,1.0,,,,,
178_1,3.0,,1.0,,,,,
178_2,1.0,,1.0,,,,,
178_3,3.0,,3.0,,,,,
178_4,3.0,,3.0,,,,,
178_5,3.0,,3.0,,,,,
178_6,3.0,,3.0,,,,,
178_7,3.0,,3.0,,,,,
178_8,3.0,,1.0,,,,,
178_10,3.0,,3.0,,,,,
178_11,3.0,,3.0,,,,,
178_12,3.0,,3.0,,,,,
178_13,3.0,,3.0,,,,,
178_14,3.0,,3.0,,,,,
178_15,3.0,,3.0,,,,,
178_16,3.0,,3.0,,,,,
178_17,3.0,,3.0,,,,,
178_18,1.0,,1.0,,,,,
178_19,3.0,,3.0,,,,,
273_0,3.0,,,3.0,,,,
273_1,1.0,,,1.0,,,,
273_2,3.0,,,3.0,,,,
273_3,3.0,,,3.0,,,,
273_4,3.0,,,3.0,,,,
273_5,3.0,,,3.0,,,,
273_6,1.0,,,1.0,,,,
273_7,3.0,,,3.0,,,,
273_8,3.0,,,3.0,,,,
273_9,3.0,,,3.0,,,,
273_10,3.0,,,3.0,,,,
273_11,1.0,,,1.0,,,,
273_12,1.0,,,1.0,,,,
273_13,3.0,,,3.0,,,,
273_14,3.0,,,3.0,,,,
273_15,3.0,,,3.0,,,,
273_16,3.0,,,3.0,,,,
273_17,1.0,,,3.0,,,,
273_18,3.0,,,1.0,,,,
273_19,1.0,,,1.0,,,,
273_20,3.0,,,3.0,,,,
273_21,3.0,,,3.0,,,,
273_22,3.0,,,3.0,,,,
273_23,3.0,,,3.0,,,,
273_24,3.0,,,3.0,,,,
273_25,3.0,,,3.0,,,,
273_26,3.0,,,3.0,,,,
273_27,3.0,,,3.0,,,,
273_28,3.0,,,3.0,,,,
273_29,3.0,,,3.0,,,,
274_0,3.0,,,3.0,,,,
274_1,3.0,,,3.0,,,,
274_2,3.0,,,1.0,,,,
274_3,3.0,,,3.0,,,,
274_5,3.0,,,3.0,,,,
274_6,3.0,,,3.0,,,,
274_7,3.0,,,1.0,,,,
274_8,3.0,,,3.0,,,,
274_9,3.0,,,3.0,,,,
274_10,3.0,,,3.0,,,,
274_11,1.0,,,3.0,,,,
274_12,3.0,,,3.0,,,,
274_13,3.0,,,3.0,,,,
274_14,3.0,,,3.0,,,,
274_15,3.0,,,3.0,,,,
274_16,3.0,,,3.0,,,,
274_17,3.0,,,3.0,,,,
274_18,3.0,,,3.0,,,,
274_19,3.0,,,3.0,,,,
179_0,3.0,,3.0,,,,,
179_1,3.0,,3.0,,,,,
179_2,3.0,,3.0,,,,,
179_3,3.0,,1.0,,,,,
179_4,1.0,,1.0,,,,,
179_5,3.0,,3.0,,,,,
179_6,3.0,,1.0,,,,,
179_7,3.0,,3.0,,,,,
