,yes-sentiment,category,hotel_id,cpt,fileId,iId,gold,text,date,sentiment,cpts,sentiment_mean,date_period,cpt_id,cpt_label,TS_LEN,argmin_max
1_8,2,pool,260,0,1,8,True,You barely get to your pool chair and someone is there with towels and a bucket of ice and water for you,2017-06-11,-0.3895419538021088,"[0, 800, 1201]",0.190139871587714,"['2015-01-01', '2018-02-26']",1_0,c,6,
1_9,1,pool,260,0,1,9,False,It is not a good spot for party animals but ideal for adults who are looking for serious chill time with drinks in the pool or at the beach,2017-12-18,-0.4753249287605286,"[0, 800, 1201]",0.190139871587714,"['2015-01-01', '2018-02-26']",1_0,c,6,
1_10,2,pool,260,1,1,10,True,At Polside we were fortunate to have Lucinda Arlet and Sara take care of us making sure we were comfortable with towels drinks and food,2018-03-05,0.4996199607849121,"[0, 800, 1201]",0.259760276206459,"['2018-02-28', '2020-04-04']",1_1,d,4,True
1_11,2,pool,260,1,1,11,True,Paella was cooked twice at the outdoor pool while we were there and every day we were offered special treats at the pool,2018-03-13,0.2624911069869995,"[0, 800, 1201]",0.259760276206459,"['2018-02-28', '2020-04-04']",1_1,d,4,
1_13,2,pool,260,1,1,13,True,5 for all day pool lay 5 breakfast 10 dinners 15 per butler 10 masseuse,2018-04-21,0.4610141515731812,"[0, 800, 1201]",0.259760276206459,"['2018-02-28', '2020-04-04']",1_1,d,4,
1_18,2,pool,260,1,1,18,True,Jeanete Michele Gustavo especially Lucinda at the pool,2019-06-04,0.3910743594169617,"[0, 800, 1201]",0.259760276206459,"['2018-02-28', '2020-04-04']",1_1,d,4,
2_2,1,renovation_room,260,0,2,2,False,On the negative side the hotel needs some refresh and the rooms are not soundproof,2016-02-06,-0.494864821434021,"[0, 45, 86]",-0.18161986105971867,"['2015-01-03', '2018-07-17']",2_0,a,5,
2_3,1,renovation_room,260,0,2,3,False,Also the rooms can use an update and the restaurants except for the Asian were not very impressive in decor,2017-07-31,-0.4937250912189484,"[0, 45, 86]",-0.18161986105971867,"['2015-01-03', '2018-07-17']",2_0,a,5,
2_5,2,renovation_room,260,0,2,5,True,The room 821 was nice but a refresh would be in order which I understand will take place in the next few months,2017-12-22,-0.2224436104297638,"[0, 45, 86]",-0.18161986105971867,"['2015-01-03', '2018-07-17']",2_0,a,5,
2_6,2,renovation_room,260,0,2,6,True,While the rooms have been updated the property is showing its age and will be closed for a few months this year for an overhaul can not wait to go back next year,2018-03-13,-0.4913840889930725,"[0, 45, 86]",-0.18161986105971867,"['2015-01-03', '2018-07-17']",2_0,a,5,
2_9,1,renovation_room,260,0,2,9,False,One suggestions to the LeBlanc for their upcoming remodel is to put some kind of sliders or felt pads on the bottom of the chairs in the rooms because if you are sleeping and someone above you orders room service you are going to hear those chairs sliding back and forth on the floor,2018-05-08,-0.4973317086696625,"[0, 45, 86]",-0.18161986105971867,"['2015-01-03', '2018-07-17']",2_0,a,5,True
2_10,2,renovation_room,260,1,2,10,True,The newly renovated room smelled clean and fresh like a spa,2019-01-11,0.4976664781570434,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,d,8,
2_11,2,renovation_room,260,1,2,11,True,The rooms are just as gorgeous as ever and the remodel has added the latest in 21st century amenities usb outlets large tv apple tv etc,2019-01-19,0.4994387030601502,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,d,8,True
2_12,2,renovation_room,260,1,2,12,True,I am not a trip advisor user but I decided to write my experience in le blanc Cancun because it really is a paradise to visit the hotel facilities are recently remodeled the rooms are very nice and the service of the staff is out of reality really everyone tries every day to go more of his work Edgar in Lumier lucinda in the pool Alexandra in the concierge area our butlers Francesco and Adriana always attentive to our needs especially recognition to Adriana who every night surprised us with a different detail in our room she prepared our jacuzi every night she always attended us with a genuine smile and really made our stay unique I recommend the restaurant Lumier and Bela the food is delicious,2019-01-24,0.4983749389648438,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,d,8,
2_13,2,renovation_room,260,1,2,13,True,in the rooms gorgeous lobby makeover although all those industrial urban couches and chairs need bolster pillows please and additional food boutiques for crepes and ice cream fun,2019-02-02,0.4942014813423157,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,d,8,
2_14,2,renovation_room,260,1,2,14,True,After the recent remodel the rooms are amazing,2019-02-19,0.4970295429229736,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,d,8,
2_15,2,renovation_room,260,1,2,15,True,Roger showed us to our newly remodeled chic guest room,2019-05-05,0.3755596876144409,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,d,8,
2_18,2,renovation_room,260,1,2,18,True,The rooms are so amazing and clean and updated,2019-12-27,0.4954560995101929,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,d,8,
2_19,2,renovation_room,260,1,2,19,True,The place is pristine they must repaint every room after each stay,2020-02-02,0.489870011806488,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,d,8,
3_0,2,restaurant,260,0,3,0,True,2The a la carte dining venues had food of inconsistent quality,2015-01-03,-0.4963819682598114,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a,8,True
3_1,1,restaurant,260,0,3,1,False,The food variety because you can request a special dish is endless,2015-01-07,-0.25686824321746826,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a,8,
3_2,1,restaurant,260,0,3,2,False,the buffet is nothing short of sensational,2015-01-11,-0.4872573912143707,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a,8,
3_3,2,restaurant,260,0,3,3,True,The International restaurant was okay we had a couple steaks that were underseasoned but a little salt fixed that problem,2015-01-21,-0.4895097315311432,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a,8,
3_6,1,restaurant,260,0,3,6,False,No bananas no oatmeal their oatmeal looked more like warm milk with a few random oats floating around and they had a salad plates of yoghurts sitting on ice,2015-02-09,-0.4607541561126709,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a,8,
3_7,2,restaurant,260,0,3,7,True,Breakfast buffet was standard comparable to Excellence,2015-03-05,-0.1756417155265808,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a,8,
3_8,1,restaurant,260,0,3,8,False,We had a sour experience on the beach at LB on our first day the waitress was not at all friendly felt like we were bothering her almost and our snacks lunch took an hour to arrive,2015-03-05,-0.4926958382129669,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a,8,
3_9,2,restaurant,260,0,3,9,True,due to the ravings about the restaurant i was expecting amazing food,2015-03-10,-0.2435554265975952,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a,8,
3_10,2,restaurant,260,1,3,10,True,Every night we came back for dinner to get a nice soak before bed,2015-06-02,0.1549891233444214,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a,7,
3_11,2,restaurant,260,1,3,11,True,The manager Antonio provided us with changes to the menu that catered to my finicky tastes,2015-06-28,0.15560120344161987,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a,7,
3_14,2,restaurant,260,1,3,14,True,We did the chefs dinner where you see the chefs cook and then eat the food accompanied with champagne and wines,2016-05-29,0.14987123012542725,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a,7,
3_15,1,restaurant,260,1,3,15,False,do not get me wrong there are some good dishes there and the sushi is pretty good,2016-06-15,0.14091193675994873,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a,7,
3_16,2,restaurant,260,1,3,16,True,On one night which was Thursdays they had a outside buffet set up they were grilling meats seafood had a salad bar sushi set up and many other choices,2016-12-03,0.1224832534790039,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a,7,
3_17,2,restaurant,260,1,3,17,True,She knew what I liked after cooking me one meal,2017-04-30,0.15874522924423218,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a,7,
3_18,2,restaurant,260,1,3,18,True,Asia restaurant Roger and his assistant Gery,2017-05-30,0.11785972118377686,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a,7,True
3_24,2,restaurant,260,2,3,24,True,We did really enjoy sushi at the Asian and the appetizers at the French restaurants but loved everything else too,2018-03-06,0.19053560495376587,"[0, 75, 885, 990, 1085, 1105, 1373]",0.246223762464772,"['2018-01-22', '2018-06-01']",3_2,c,5,
3_25,2,restaurant,260,2,3,25,True,The bars were all well stocked with premium liquor,2018-03-20,0.1751192808151245,"[0, 75, 885, 990, 1085, 1105, 1373]",0.246223762464772,"['2018-01-22', '2018-06-01']",3_2,c,5,True
3_27,2,restaurant,260,2,3,27,True,I love Thai food so I was happy to find out that they have Tom Kha Gai soup on their menu a Thai style soup with coconut milk a must try,2018-04-23,0.23266786336898804,"[0, 75, 885, 990, 1085, 1105, 1373]",0.246223762464772,"['2018-01-22', '2018-06-01']",3_2,c,5,
3_28,2,restaurant,260,2,3,28,True,I know they had more guests coming but when I go to the fancy restaurant I like to spend my time to enjoy all meals and relax,2018-05-24,0.2131771445274353,"[0, 75, 885, 990, 1085, 1105, 1373]",0.246223762464772,"['2018-01-22', '2018-06-01']",3_2,c,5,
3_29,2,restaurant,260,2,3,29,True,The restaurants at night are all good,2018-05-30,0.21019774675369265,"[0, 75, 885, 990, 1085, 1105, 1373]",0.246223762464772,"['2018-01-22', '2018-06-01']",3_2,c,5,
3_30,2,restaurant,260,3,3,30,True,And also consider the special dinners that are offered,2018-06-07,0.18077987432479856,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,9,
3_32,2,restaurant,260,3,3,32,True,Others said it was their favorite restaurant and loved their meals,2019-01-11,0.19056010246276853,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,9,
3_33,1,restaurant,260,3,3,33,False,Breakfast is great but the dinner in that same room less exciting,2019-01-20,0.19470298290252688,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,9,
3_34,2,restaurant,260,3,3,34,True,But Le Blanc also has Lumiere French Fusion Cuisine to die for,2019-01-23,0.206878662109375,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,9,
3_35,2,restaurant,260,3,3,35,True,Le Blanc PM Mexican restaurant staff,2019-01-31,0.17528903484344482,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,9,
3_36,1,restaurant,260,3,3,36,False,ExceptionalNo major change except the menu floors and the name,2019-02-03,0.16919654607772827,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,9,
3_37,1,restaurant,260,3,3,37,False,it is nice that you do not have to make reservations at the restaurants except the French one,2019-02-03,0.2172722220420837,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,9,
3_38,2,restaurant,260,3,3,38,True,The service in all restaurants was excellent but Bela went over and above,2019-02-07,0.22837746143341064,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,9,
3_39,2,restaurant,260,3,3,39,True,They decorated an entire meeting room with NFL decor including snacks and deserts and of course drinks,2019-02-08,0.2308282852172852,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,9,True
3_40,2,restaurant,260,4,3,40,True,Yama Japanese Restaurant,2019-02-12,0.12933874130249026,"[0, 75, 885, 990, 1085, 1105, 1373]",0.08285729186165901,"['2019-02-11', '2019-03-05']",3_4,c,4,
3_41,1,restaurant,260,4,3,41,False,I adore Marco manager of Blanc pool lunch was not good at all,2019-02-21,0.1594427227973938,"[0, 75, 885, 990, 1085, 1105, 1373]",0.08285729186165901,"['2019-02-11', '2019-03-05']",3_4,c,4,True
3_42,2,restaurant,260,4,3,42,True,This Terrace has been totally transformed with full menu restaurant all day and evening,2019-02-21,0.09187829494476316,"[0, 75, 885, 990, 1085, 1105, 1373]",0.08285729186165901,"['2019-02-11', '2019-03-05']",3_4,c,4,
3_43,2,restaurant,260,4,3,43,True,Food is very good would like to see a buffet option rather than a la carte for dinner,2019-02-26,0.14358305931091309,"[0, 75, 885, 990, 1085, 1105, 1373]",0.08285729186165901,"['2019-02-11', '2019-03-05']",3_4,c,4,
4_1,2,room,260,0,4,1,True,Even though we checked in early in the day our room was ready,2015-02-25,-0.3182094693183899,"[0, 135, 780, 1040, 1272]",0.06975333816321451,"['2015-01-01', '2015-06-26']",4_0,c,4,
4_3,1,room,260,0,4,3,False,I would say that the rooms at Excellence are comparably luxurious and well appointed and a bit larger and all have balconies with outside seatingAMBIENCEDespite the higher price tag LB did not seem all that much classier than Excellence,2015-03-05,-0.3017987608909607,"[0, 135, 780, 1040, 1272]",0.06975333816321451,"['2015-01-01', '2015-06-26']",4_0,c,4,
4_6,2,room,260,0,4,6,True,The rooms are very nice but I am starting to view the jacuzi as something that just takes up space as we do not ever use them any more,2015-03-26,0.00709986686706543,"[0, 135, 780, 1040, 1272]",0.06975333816321451,"['2015-01-01', '2015-06-26']",4_0,c,4,
4_9,2,room,260,0,4,9,True,I stayed in two different room categories and both were pretty much the same except for the view,2015-05-18,-0.4701921939849854,"[0, 135, 780, 1040, 1272]",0.06975333816321451,"['2015-01-01', '2015-06-26']",4_0,c,4,True
4_10,2,room,260,1,4,10,True,We had resort credits when we booked so we used some of those to upgrade our room to an ocean view,2015-08-18,0.14920485019683838,"[0, 135, 780, 1040, 1272]",0.15173084325241193,"['2015-06-27', '2017-10-22']",4_1,c,5,
4_11,2,room,260,1,4,11,True,I have stayed at nicer rooms but have never had the service that we had at le blanc,2015-10-07,0.0704423189163208,"[0, 135, 780, 1040, 1272]",0.15173084325241193,"['2015-06-27', '2017-10-22']",4_1,c,5,True
4_12,2,room,260,1,4,12,True,Open plan two closets,2016-04-13,0.1497367024421692,"[0, 135, 780, 1040, 1272]",0.15173084325241193,"['2015-06-27', '2017-10-22']",4_1,c,5,
4_15,2,room,260,1,4,15,True,They bring the whole table to your room so you can eat with a view,2016-09-22,0.15030473470687866,"[0, 135, 780, 1040, 1272]",0.15173084325241193,"['2015-06-27', '2017-10-22']",4_1,c,5,
4_19,2,room,260,1,4,19,True,We came back to find our Tub filled champagne roses and balloons filled the ceiling,2017-09-05,0.14120841026306152,"[0, 135, 780, 1040, 1272]",0.15173084325241193,"['2015-06-27', '2017-10-22']",4_1,c,5,
4_23,2,room,260,2,4,23,True,We stayed at one of the Royal Honeymoon Suites Oceanfront on the 6th floor,2018-05-23,0.1781497597694397,"[0, 135, 780, 1040, 1272]",0.19284249199045986,"['2017-10-26', '2019-03-09']",4_2,b,3,True
4_24,2,room,260,2,4,24,True,Scented oils pillow and bath salt menu in the room,2018-06-04,0.16152334213256836,"[0, 135, 780, 1040, 1272]",0.19284249199045986,"['2017-10-26', '2019-03-09']",4_2,b,3,
4_25,1,room,260,2,4,25,False,The ok first checked in and asked about the balcony room,2019-01-13,0.1667238473892212,"[0, 135, 780, 1040, 1272]",0.19284249199045986,"['2017-10-26', '2019-03-09']",4_2,b,3,
4_28,2,room,260,3,4,28,True,The double jacuzi in the room is something I am used to after staying in Palace resorts,2019-05-31,-0.4946750402450562,"[0, 135, 780, 1040, 1272]",0.27100869543582484,"['2019-03-12', '2020-04-12']",4_3,d,3,True
4_30,2,room,260,3,4,30,True,Once they realized how we like things they made sure it was that way every time we returned to our room,2019-07-16,-0.25552597641944885,"[0, 135, 780, 1040, 1272]",0.27100869543582484,"['2019-03-12', '2020-04-12']",4_3,d,3,
4_31,1,room,260,3,4,31,False,The steps leading to the tub can be slippery and my husband took a nasty fall on them,2019-09-24,-0.4943488836288452,"[0, 135, 780, 1040, 1272]",0.27100869543582484,"['2019-03-12', '2020-04-12']",4_3,d,3,
5_0,2,facility,110,0,5,0,True,The only free wifi was in the lobby,2015-03-10,-0.4016974866390228,"[0, 885, 2140]",0.18295243004667852,"['2015-01-04', '2018-06-25 04:12:47']",5_0,a,4,
5_1,2,facility,110,0,5,1,True,The gym was on the small and cramped side but there were a few options but based on my Crowne Plaza experience it is pretty poor overall,2016-05-09,-0.4946321249008178,"[0, 885, 2140]",0.18295243004667852,"['2015-01-04', '2018-06-25 04:12:47']",5_0,a,4,
5_6,2,facility,110,0,5,6,True,No information in room showing hotel facilities,2018-03-19 11:16:45,-0.4980983436107636,"[0, 885, 2140]",0.18295243004667852,"['2015-01-04', '2018-06-25 04:12:47']",5_0,a,4,
5_9,2,facility,110,0,5,9,True,Disappointing aspects included the lack of cups for water in the gym EVERY morning this was empty and I stayed for 3 nights no towels for the gym or sauna hotel cards continually not working kept no where near a phone or other cards as well as a quite archaic hairdryer in the rooms as well as no hair straighteners available at concierge,2018-05-26 06:21:04,-0.4983415603637695,"[0, 885, 2140]",0.18295243004667852,"['2015-01-04', '2018-06-25 04:12:47']",5_0,a,4,True
5_10,2,facility,110,1,5,10,True,Great Location great facilities close to shops and restaurants and if you are there for the football it ’s just around the corner,2018-08-18 00:00:00,0.4981914162635803,"[0, 885, 2140]",0.2314962178376025,"['2018-06-25 12:01:58', '2020-03-30 08:02:30']",5_1,d,6,
5_13,2,facility,110,1,5,13,True,Warm welcome by reception staff and staff in general,2019-03-25 04:35:09,0.49696415662765503,"[0, 885, 2140]",0.2314962178376025,"['2018-06-25 12:01:58', '2020-03-30 08:02:30']",5_1,d,6,
5_15,2,facility,110,1,5,15,True,Reception staff are excellent,2019-07-26 02:08:10,0.4949817061424256,"[0, 885, 2140]",0.2314962178376025,"['2018-06-25 12:01:58', '2020-03-30 08:02:30']",5_1,d,6,
5_16,2,facility,110,1,5,16,True,The reception staff were very friendly helpful the room was spacious and attractive with plenty of towels and bath robes to borrow,2019-11-05 00:00:00,0.4998786449432373,"[0, 885, 2140]",0.2314962178376025,"['2018-06-25 12:01:58', '2020-03-30 08:02:30']",5_1,d,6,True
5_17,2,facility,110,1,5,17,True,I enjoyed the upgrade and made full us of the gym,2019-12-11 05:06:31,0.4893434047698975,"[0, 885, 2140]",0.2314962178376025,"['2018-06-25 12:01:58', '2020-03-30 08:02:30']",5_1,d,6,
5_18,2,facility,110,1,5,18,True,Staff were very friendly and exceptionally helpful from the concierge reception restaurant staff and the wonderful Club Lounge Concierge,2019-12-21 11:57:04,0.4995964169502258,"[0, 885, 2140]",0.2314962178376025,"['2018-06-25 12:01:58', '2020-03-30 08:02:30']",5_1,d,6,
6_1,2,reception,110,0,6,1,True,The staff at the desk were very helpful and were happy to help in anyway they could,2015-06-05,0.4983343482017517,"[0, 850, 2825, 5306]",0.339391653864972,"['2015-01-01', '2017-11-22 00:00:00']",6_0,b,1,True
6_10,1,reception,110,1,6,10,False,Otherwise nice and clean room good service and the car was there to jump in when I was going to leave,2017-12-24 00:55:47,0.3045986294746399,"[0, 850, 2825, 5306]",0.28474716465419514,"['2017-11-22 06:59:51', '2018-12-11 10:59:32']",6_1,b,5,
6_16,1,reception,110,1,6,16,False,However the service receptionist David Lee was amazing,2018-07-25 00:00:00,0.3102286458015442,"[0, 850, 2825, 5306]",0.28474716465419514,"['2017-11-22 06:59:51', '2018-12-11 10:59:32']",6_1,b,5,
6_17,1,reception,110,1,6,17,False,It is 3 stars hotel with 2 stars service,2018-09-15 00:00:00,0.31992149353027344,"[0, 850, 2825, 5306]",0.28474716465419514,"['2017-11-22 06:59:51', '2018-12-11 10:59:32']",6_1,b,5,True
6_18,2,reception,110,1,6,18,True,The staff moved us however it was inconvenient as we had already unpacked,2018-09-25 04:26:07,0.2936575412750244,"[0, 850, 2825, 5306]",0.28474716465419514,"['2017-11-22 06:59:51', '2018-12-11 10:59:32']",6_1,b,5,
6_19,1,reception,110,1,6,19,False,particulary Marc and Phoebe at front desk,2018-10-21 01:24:05,0.2929617166519165,"[0, 850, 2825, 5306]",0.28474716465419514,"['2017-11-22 06:59:51', '2018-12-11 10:59:32']",6_1,b,5,
6_20,2,reception,110,2,6,20,True,My question to the staff was if 4 pm can be 5 pm just due to the fact of my outbound flight from Adelaide,2019-01-08 07:25:29,-0.4602595269680023,"[0, 850, 2825, 5306]",0.3397508008507309,"['2018-12-11 12:08:12', '2020-04-12 00:00:00']",6_2,d,5,
6_21,2,reception,110,2,6,21,True,hello or godmorning at breakfast desk staff appeared stressed and unorganised,2019-01-11 00:00:00,-0.4828666150569916,"[0, 850, 2825, 5306]",0.3397508008507309,"['2018-12-11 12:08:12', '2020-04-12 00:00:00']",6_2,d,5,True
6_22,2,reception,110,2,6,22,True,We enjoyed staying at the Pullman the inital service we recieved at the recpetion on Friday 19 April at 4 pm was less then adequete the receptionist was extremly dismissive was unwilling to give any information in relation to facilites and refused to issue 2 room keys even though she could clearly see I was travelling with my wife,2019-04-24 04:25:25,-0.457861065864563,"[0, 850, 2825, 5306]",0.3397508008507309,"['2018-12-11 12:08:12', '2020-04-12 00:00:00']",6_2,d,5,
6_24,2,reception,110,2,6,24,True,At 530 am unable to sleep I called reception,2019-06-02 22:16:50,-0.382055789232254,"[0, 850, 2825, 5306]",0.3397508008507309,"['2018-12-11 12:08:12', '2020-04-12 00:00:00']",6_2,d,5,
6_26,2,reception,110,2,6,26,True,I m sorry if i was wrong to go to reception forage bother them with this but there often was nt anyone at the concierge desk,2019-08-28 06:44:56,-0.4796292185783386,"[0, 850, 2825, 5306]",0.3397508008507309,"['2018-12-11 12:08:12', '2020-04-12 00:00:00']",6_2,d,5,
7_5,2,pool,110,0,7,5,True,Cushions on sunloungers around pool area are worn and dirty,2016-12-30,-0.4948084950447082,"[0, 340, 708]",0.11014834661109774,"['2015-01-01', '2018-05-04 00:00:00']",7_0,a,5,
7_6,2,pool,110,0,7,6,True,Pool was too cold to use,2017-01-16,-0.4931766986846924,"[0, 340, 708]",0.11014834661109774,"['2015-01-01', '2018-05-04 00:00:00']",7_0,a,5,
7_7,1,pool,110,0,7,7,False,The Pool and Spa on the 2nd floor was a bit smaller then most especialy when a good few people have the same idea as you but nice and clean and good pool temperature for a swim,2017-01-28,-0.4782211482524872,"[0, 340, 708]",0.11014834661109774,"['2015-01-01', '2018-05-04 00:00:00']",7_0,a,5,
7_8,2,pool,110,0,7,8,True,small pool and spa area not very easy to access especially when parents and children take over the space,2017-02-01,-0.4990702271461487,"[0, 340, 708]",0.11014834661109774,"['2015-01-01', '2018-05-04 00:00:00']",7_0,a,5,True
