,yes-sentiment,category,hotel_id,cpt,fileId,iId,gold,sentiment,cpt_id,cpt_label,ts_len
16_4,2,reception,401,0,16,4,True,-0.4887985587120056,16_0,a,6
16_6,2,reception,401,0,16,6,True,-0.28813785314559937,16_0,a,6
16_8,2,reception,401,0,16,8,True,-0.494128406047821,16_0,a,6
17_0,2,pool,401,0,17,0,True,-0.4943146705627442,17_0,a,5
17_1,2,pool,401,0,17,1,True,-0.49426123499870295,17_0,a,5
17_2,2,pool,401,0,17,2,True,-0.4971326887607575,17_0,a,5
17_6,2,pool,401,0,17,6,True,-0.4886104464530945,17_0,a,5
17_7,2,pool,401,0,17,7,True,-0.4950818121433258,17_0,a,5
17_10,2,pool,401,1,17,10,True,0.4888540506362915,17_1,,6
17_14,2,pool,401,1,17,14,True,0.4993300437927246,17_1,,6
17_15,2,pool,401,1,17,15,True,0.4981606602668762,17_1,,6
17_17,2,pool,401,1,17,17,True,0.49887961149215704,17_1,,6
17_18,2,pool,401,1,17,18,True,0.4981350898742676,17_1,,6
17_19,2,pool,401,1,17,19,True,0.4975464940071106,17_1,,6
18_0,2,renovation_room,401,0,18,0,True,-0.4914751946926117,18_0,a,9
18_1,2,renovation_room,401,0,18,1,True,-0.4982979595661163,18_0,a,9
18_2,2,renovation_room,401,0,18,2,True,-0.4909911751747131,18_0,a,9
18_3,2,renovation_room,401,0,18,3,True,-0.4890232086181641,18_0,a,9
18_4,2,renovation_room,401,0,18,4,True,-0.4995367228984833,18_0,a,9
18_5,2,renovation_room,401,0,18,5,True,-0.4974819421768189,18_0,a,9
18_6,2,renovation_room,401,0,18,6,True,-0.4886711835861206,18_0,a,9
18_7,2,renovation_room,401,0,18,7,True,-0.4951784014701843,18_0,a,9
18_9,2,renovation_room,401,0,18,9,True,-0.4954256415367127,18_0,a,9
18_10,2,renovation_room,401,1,18,10,True,0.4893224835395813,18_1,,8
18_11,2,renovation_room,401,1,18,11,True,0.4503769874572754,18_1,,8
18_13,2,renovation_room,401,1,18,13,True,0.44936853647232056,18_1,,8
18_15,2,renovation_room,401,1,18,15,True,0.4834215044975281,18_1,,8
18_16,2,renovation_room,401,1,18,16,True,0.499879002571106,18_1,,8
18_17,2,renovation_room,401,1,18,17,True,0.4990857839584351,18_1,,8
18_18,2,renovation_room,401,1,18,18,True,0.4989537000656128,18_1,,8
18_19,2,renovation_room,401,1,18,19,True,0.4997568726539612,18_1,,8
19_0,2,room,401,0,19,0,True,-0.4970723390579224,19_0,a,7
19_3,2,room,401,0,19,3,True,-0.4639158844947815,19_0,a,7
19_4,2,room,401,0,19,4,True,-0.4935036599636078,19_0,a,7
19_5,2,room,401,0,19,5,True,-0.4974496066570282,19_0,a,7
19_6,2,room,401,0,19,6,True,-0.4800376296043396,19_0,a,7
19_8,2,room,401,0,19,8,True,-0.4947247207164765,19_0,a,7
19_9,2,room,401,0,19,9,True,-0.4894607365131378,19_0,a,7
19_10,2,room,401,1,19,10,True,0.49534249305725103,19_1,,8
19_12,2,room,401,1,19,12,True,0.4962261915206909,19_1,,8
19_13,2,room,401,1,19,13,True,0.4489171504974365,19_1,,8
19_14,2,room,401,1,19,14,True,0.4876835942268372,19_1,,8
19_15,2,room,401,1,19,15,True,0.4656827449798584,19_1,,8
19_17,2,room,401,1,19,17,True,0.4973811507225037,19_1,,8
19_18,2,room,401,1,19,18,True,0.4956305027008057,19_1,,8
19_19,2,room,401,1,19,19,True,0.4262649416923523,19_1,,8
20_10,2,reception,319,1,20,10,True,0.3231777548789978,20_1,c,4
20_16,2,reception,319,1,20,16,True,0.3331411480903625,20_1,c,4
20_17,2,reception,319,1,20,17,True,0.3374616503715515,20_1,c,4
20_18,2,reception,319,1,20,18,True,0.4036959409713745,20_1,c,4
22_0,2,renovation_room,319,0,22,0,True,0.4984152317047119,22_0,b,8
22_1,2,renovation_room,319,0,22,1,True,0.4996874332427978,22_0,b,8
22_3,2,renovation_room,319,0,22,3,True,0.4982054233551026,22_0,b,8
22_4,2,renovation_room,319,0,22,4,True,0.4979174733161926,22_0,b,8
22_5,2,renovation_room,319,0,22,5,True,0.0656517744064331,22_0,b,8
22_6,2,renovation_room,319,0,22,6,True,0.4559431672096253,22_0,b,8
22_8,2,renovation_room,319,0,22,8,True,0.4997088313102722,22_0,b,8
22_9,2,renovation_room,319,0,22,9,True,0.494551956653595,22_0,b,8
22_10,2,renovation_room,319,1,22,10,True,-0.4994418323040009,22_1,,7
22_11,2,renovation_room,319,1,22,11,True,-0.4978773891925812,22_1,,7
22_14,2,renovation_room,319,1,22,14,True,-0.4937427937984466,22_1,,7
22_15,2,renovation_room,319,1,22,15,True,-0.4802142381668091,22_1,,7
22_16,2,renovation_room,319,1,22,16,True,-0.4964898526668549,22_1,,7
22_17,2,renovation_room,319,1,22,17,True,-0.4947277009487152,22_1,,7
22_18,2,renovation_room,319,1,22,18,True,-0.4874768257141113,22_1,,7
23_1,2,restaurant,319,0,23,1,True,0.4700658917427063,23_0,c,4
23_5,2,restaurant,319,0,23,5,True,0.4993910789489746,23_0,c,4
23_6,2,restaurant,319,0,23,6,True,0.4526928067207336,23_0,c,4
23_7,2,restaurant,319,0,23,7,True,0.4980183839797974,23_0,c,4
23_10,2,restaurant,319,1,23,10,True,0.12589925527572632,23_1,c,3
23_15,2,restaurant,319,1,23,15,True,0.15453988313674927,23_1,c,3
23_19,2,restaurant,319,1,23,19,True,0.17141979932785034,23_1,c,3
24_0,2,room,319,0,24,0,True,0.4996002316474914,24_0,b,7
24_3,2,room,319,0,24,3,True,0.4990390539169312,24_0,b,7
24_4,2,room,319,0,24,4,True,0.4992978572845459,24_0,b,7
24_5,2,room,319,0,24,5,True,0.4717526435852051,24_0,b,7
24_7,2,room,319,0,24,7,True,0.2591507434844971,24_0,b,7
24_8,2,room,319,0,24,8,True,0.4895921945571899,24_0,b,7
24_9,2,room,319,0,24,9,True,0.4991318583488464,24_0,b,7
24_10,2,room,319,1,24,10,True,-0.4263936877250672,24_1,,5
24_12,2,room,319,1,24,12,True,-0.4013507962226868,24_1,,5
24_15,2,room,319,1,24,15,True,-0.41112464666366577,24_1,,5
24_18,2,room,319,1,24,18,True,-0.4871143102645874,24_1,,5
24_19,2,room,319,1,24,19,True,-0.4527843594551086,24_1,,5
25_0,2,facility,132,0,25,0,True,-0.4837334156036377,25_0,a,4
25_2,2,facility,132,0,25,2,True,-0.4981581866741181,25_0,a,4
25_8,2,facility,132,0,25,8,True,-0.495635598897934,25_0,a,4
25_9,2,facility,132,0,25,9,True,-0.4966301918029785,25_0,a,4
25_11,2,facility,132,1,25,11,True,0.4926316738128662,25_1,,8
25_13,2,facility,132,1,25,13,True,0.4963082671165466,25_1,,8
25_14,2,facility,132,1,25,14,True,0.4998282194137573,25_1,,8
25_15,2,facility,132,1,25,15,True,0.49868243932724,25_1,,8
25_16,2,facility,132,1,25,16,True,0.4996490478515625,25_1,,8
25_17,2,facility,132,1,25,17,True,0.4991401433944702,25_1,,8
25_18,2,facility,132,1,25,18,True,0.4970868229866028,25_1,,8
25_19,2,facility,132,1,25,19,True,0.2893407344818115,25_1,,8
27_0,2,pool,132,0,27,0,True,0.4998692274093628,27_0,b,10
27_1,2,pool,132,0,27,1,True,0.4546476006507874,27_0,b,10
27_2,2,pool,132,0,27,2,True,0.4981514811515808,27_0,b,10
27_3,2,pool,132,0,27,3,True,0.4953120946884155,27_0,b,10
27_4,2,pool,132,0,27,4,True,0.4488876461982727,27_0,b,10
27_5,2,pool,132,0,27,5,True,0.4905125498771668,27_0,b,10
27_6,2,pool,132,0,27,6,True,0.4689568281173706,27_0,b,10
27_7,2,pool,132,0,27,7,True,0.3293557167053223,27_0,b,10
27_8,2,pool,132,0,27,8,True,0.4989816546440125,27_0,b,10
27_9,2,pool,132,0,27,9,True,0.4941419959068298,27_0,b,10
27_10,2,pool,132,1,27,10,True,-0.2820830345153809,27_1,c,5
27_11,2,pool,132,1,27,11,True,0.1323082447052002,27_1,c,5
27_13,2,pool,132,1,27,13,True,-0.2530375123023987,27_1,c,5
27_14,2,pool,132,1,27,14,True,0.019291520118713386,27_1,c,5
27_16,2,pool,132,1,27,16,True,-0.2588162422180176,27_1,c,5
27_17,2,pool,132,2,27,17,True,-0.458073228597641,27_2,,6
27_19,2,pool,132,2,27,19,True,-0.4986336529254913,27_2,,6
27_20,2,pool,132,2,27,20,True,-0.4690685272216797,27_2,,6
27_21,2,pool,132,2,27,21,True,-0.4981997013092041,27_2,,6
27_24,2,pool,132,2,27,24,True,-0.4968644082546234,27_2,,6
27_26,2,pool,132,2,27,26,True,-0.06527411937713623,27_2,,6
28_0,2,renovation_room,132,0,28,0,True,-0.4908299148082733,28_0,a,8
28_2,2,renovation_room,132,0,28,2,True,-0.4890197515487671,28_0,a,8
28_3,2,renovation_room,132,0,28,3,True,-0.4971693456172943,28_0,a,8
28_5,2,renovation_room,132,0,28,5,True,-0.4907830953598023,28_0,a,8
28_6,2,renovation_room,132,0,28,6,True,-0.4863840043544769,28_0,a,8
28_7,2,renovation_room,132,0,28,7,True,-0.49513363838195795,28_0,a,8
28_8,2,renovation_room,132,0,28,8,True,-0.4950699806213379,28_0,a,8
28_9,2,renovation_room,132,0,28,9,True,-0.4626220464706421,28_0,a,8
28_10,2,renovation_room,132,1,28,10,True,0.4998001456260681,28_1,,10
28_11,2,renovation_room,132,1,28,11,True,0.4998936653137207,28_1,,10
28_12,2,renovation_room,132,1,28,12,True,0.4997455477714538,28_1,,10
28_13,2,renovation_room,132,1,28,13,True,0.4942675232887268,28_1,,10
28_14,2,renovation_room,132,1,28,14,True,0.4993976354598999,28_1,,10
28_15,2,renovation_room,132,1,28,15,True,0.49961203336715704,28_1,,10
28_16,2,renovation_room,132,1,28,16,True,0.49413186311721796,28_1,,10
28_17,2,renovation_room,132,1,28,17,True,0.487188994884491,28_1,,10
28_18,2,renovation_room,132,1,28,18,True,0.4998014569282532,28_1,,10
28_19,2,renovation_room,132,1,28,19,True,0.4989798665046692,28_1,,10
30_0,2,facility,129,0,30,0,True,0.4997207522392273,30_0,b,7
30_1,2,facility,129,0,30,1,True,0.4140555858612061,30_0,b,7
30_3,2,facility,129,0,30,3,True,0.4996901750564575,30_0,b,7
30_4,2,facility,129,0,30,4,True,0.4965789914131165,30_0,b,7
30_5,2,facility,129,0,30,5,True,0.4933142066001892,30_0,b,7
30_6,2,facility,129,0,30,6,True,0.4975125789642334,30_0,b,7
30_9,2,facility,129,0,30,9,True,0.4970279335975647,30_0,b,7
30_14,2,facility,129,1,30,14,True,-0.2162121832370758,30_1,c,3
30_15,2,facility,129,1,30,15,True,-0.19559726119041448,30_1,c,3
30_17,2,facility,129,1,30,17,True,-0.06577113270759583,30_1,c,3
30_20,2,facility,129,2,30,20,True,-0.4808633029460907,30_2,,3
30_21,2,facility,129,2,30,21,True,-0.4962427318096161,30_2,,3
30_27,2,facility,129,2,30,27,True,-0.4969634413719177,30_2,,3
31_17,2,pool,129,2,31,17,True,-0.31216999888420105,31_2,a,6
31_18,2,pool,129,2,31,18,True,0.14583981037139893,31_2,a,6
31_19,2,pool,129,2,31,19,True,-0.023564696311950684,31_2,a,6
31_20,2,pool,129,2,31,20,True,-0.3033143281936645,31_2,a,6
31_21,2,pool,129,2,31,21,True,0.15908074378967285,31_2,a,6
31_23,2,pool,129,2,31,23,True,-0.091310054063797,31_2,a,6
31_24,2,pool,129,3,31,24,True,-0.4672196209430695,31_3,,7
31_25,2,pool,129,3,31,25,True,-0.4931417405605316,31_3,,7
31_27,2,pool,129,3,31,27,True,-0.4984036087989807,31_3,,7
31_29,2,pool,129,3,31,29,True,-0.4858918786048889,31_3,,7
31_30,2,pool,129,3,31,30,True,-0.4988314211368561,31_3,,7
31_31,2,pool,129,3,31,31,True,-0.4849245846271515,31_3,,7
31_32,2,pool,129,3,31,32,True,-0.4881008565425873,31_3,,7
32_0,2,renovation_room,129,0,32,0,True,-0.4916602671146393,32_0,a,9
32_1,2,renovation_room,129,0,32,1,True,-0.496469795703888,32_0,a,9
32_2,2,renovation_room,129,0,32,2,True,-0.4963614344596863,32_0,a,9
32_3,2,renovation_room,129,0,32,3,True,-0.4917073845863342,32_0,a,9
32_4,2,renovation_room,129,0,32,4,True,-0.4937647879123688,32_0,a,9
32_5,2,renovation_room,129,0,32,5,True,-0.4939471483230591,32_0,a,9
32_6,2,renovation_room,129,0,32,6,True,-0.4984297752380371,32_0,a,9
32_7,2,renovation_room,129,0,32,7,True,-0.41871336102485657,32_0,a,9
32_9,2,renovation_room,129,0,32,9,True,-0.4914083182811737,32_0,a,9
32_10,2,renovation_room,129,1,32,10,True,0.4783300757408142,32_1,,7
32_11,2,renovation_room,129,1,32,11,True,0.11498212814331055,32_1,,7
32_12,2,renovation_room,129,1,32,12,True,0.12826484441757202,32_1,,7
32_14,2,renovation_room,129,1,32,14,True,0.4910761117935181,32_1,,7
32_17,2,renovation_room,129,1,32,17,True,0.4996961355209351,32_1,,7
32_18,2,renovation_room,129,1,32,18,True,0.4894348978996277,32_1,,7
32_19,2,renovation_room,129,1,32,19,True,0.4727452993392944,32_1,,7
34_0,2,room,129,0,34,0,True,-0.4880244433879852,34_0,c,4
34_2,2,room,129,0,34,2,True,-0.4944851994514465,34_0,c,4
34_4,2,room,129,0,34,4,True,-0.4854533076286316,34_0,c,4
34_9,2,room,129,0,34,9,True,-0.3483682870864868,34_0,c,4
34_24,2,room,129,3,34,24,True,0.09984099864959717,34_3,a,5
34_26,2,room,129,3,34,26,True,0.10727757215499878,34_3,a,5
34_30,2,room,129,3,34,30,True,0.014519810676574709,34_3,a,5
34_32,2,room,129,3,34,32,True,0.02430260181427002,34_3,a,5
34_33,2,room,129,3,34,33,True,0.10117977857589723,34_3,a,5
34_34,2,room,129,4,34,34,True,0.4976805448532105,34_4,,6
34_36,2,room,129,4,34,36,True,0.2482826113700867,34_4,,6
34_37,2,room,129,4,34,37,True,0.4983553290367127,34_4,,6
34_38,2,room,129,4,34,38,True,0.4549024701118469,34_4,,6
34_39,2,room,129,4,34,39,True,0.4922630786895752,34_4,,6
34_40,2,room,129,4,34,40,True,0.4987906813621521,34_4,,6
35_1,2,facility,445,0,35,1,True,-0.34650325775146484,35_0,a,4
35_4,2,facility,445,0,35,4,True,-0.4738745391368866,35_0,a,4
35_6,2,facility,445,0,35,6,True,-0.4927674829959869,35_0,a,4
35_7,2,facility,445,0,35,7,True,-0.4801416397094727,35_0,a,4
35_10,2,facility,445,1,35,10,True,0.4957948923110962,35_1,,6
35_11,2,facility,445,1,35,11,True,0.4985442161560058,35_1,,6
35_14,2,facility,445,1,35,14,True,0.4821481704711914,35_1,,6
35_15,2,facility,445,1,35,15,True,0.4990782737731934,35_1,,6
35_18,2,facility,445,1,35,18,True,0.4994290471076965,35_1,,6
35_19,2,facility,445,1,35,19,True,0.4992426633834839,35_1,,6
36_0,2,pool,445,0,36,0,True,-0.4891608357429504,36_0,a,5
36_2,2,pool,445,0,36,2,True,-0.4581488072872162,36_0,a,5
36_3,2,pool,445,0,36,3,True,-0.4943343997001648,36_0,a,5
36_4,2,pool,445,0,36,4,True,-0.4893356561660767,36_0,a,5
36_5,2,pool,445,0,36,5,True,-0.4947168529033661,36_0,a,5
36_10,2,pool,445,1,36,10,True,0.499962329864502,36_1,,10
36_11,2,pool,445,1,36,11,True,0.4966965913772583,36_1,,10
36_12,2,pool,445,1,36,12,True,0.4855304956436157,36_1,,10
36_13,2,pool,445,1,36,13,True,0.4993647933006287,36_1,,10
