,yes-sentiment,yes-aspect,no-sentiment,no-aspect,category,hotel_id,cpt,Total,fileId,iId,gold-aspect,gold-sentiment,text,date,sentiment,cpts,sentiment_mean,date_period,cpt_id,cpt_label,TS_LEN,argmin_max
3_30,2,2,0,0,restaurant,260,3,4,3,30,True,True,And also consider the special dinners that are offered,2018-06-07,0.18077987432479856,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,9,
3_32,2,2,0,0,restaurant,260,3,4,3,32,True,True,Others said it was their favorite restaurant and loved their meals,2019-01-11,0.19056010246276853,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,9,
3_33,1,2,1,0,restaurant,260,3,4,3,33,True,False,Breakfast is great but the dinner in that same room less exciting,2019-01-20,0.19470298290252688,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,9,
3_34,2,2,0,0,restaurant,260,3,4,3,34,True,True,But Le Blanc also has Lumiere French Fusion Cuisine to die for,2019-01-23,0.206878662109375,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,9,
3_35,2,2,0,0,restaurant,260,3,4,3,35,True,True,Le Blanc PM Mexican restaurant staff,2019-01-31,0.17528903484344482,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,9,
3_36,1,2,1,0,restaurant,260,3,4,3,36,True,False,ExceptionalNo major change except the menu floors and the name,2019-02-03,0.16919654607772827,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,9,
3_37,1,2,1,0,restaurant,260,3,4,3,37,True,False,it is nice that you do not have to make reservations at the restaurants except the French one,2019-02-03,0.2172722220420837,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,9,
3_38,2,2,0,0,restaurant,260,3,4,3,38,True,True,The service in all restaurants was excellent but Bela went over and above,2019-02-07,0.22837746143341064,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,9,
3_39,2,2,0,0,restaurant,260,3,4,3,39,True,True,They decorated an entire meeting room with NFL decor including snacks and deserts and of course drinks,2019-02-08,0.2308282852172852,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c,9,True
3_40,2,2,0,0,restaurant,260,4,4,3,40,True,True,Yama Japanese Restaurant,2019-02-12,0.12933874130249026,"[0, 75, 885, 990, 1085, 1105, 1373]",0.08285729186165901,"['2019-02-11', '2019-03-05']",3_4,c,4,
3_41,1,2,1,0,restaurant,260,4,4,3,41,True,False,I adore Marco manager of Blanc pool lunch was not good at all,2019-02-21,0.1594427227973938,"[0, 75, 885, 990, 1085, 1105, 1373]",0.08285729186165901,"['2019-02-11', '2019-03-05']",3_4,c,4,True
3_42,2,2,0,0,restaurant,260,4,4,3,42,True,True,This Terrace has been totally transformed with full menu restaurant all day and evening,2019-02-21,0.09187829494476316,"[0, 75, 885, 990, 1085, 1105, 1373]",0.08285729186165901,"['2019-02-11', '2019-03-05']",3_4,c,4,
3_43,2,2,0,0,restaurant,260,4,4,3,43,True,True,Food is very good would like to see a buffet option rather than a la carte for dinner,2019-02-26,0.14358305931091309,"[0, 75, 885, 990, 1085, 1105, 1373]",0.08285729186165901,"['2019-02-11', '2019-03-05']",3_4,c,4,
4_1,2,2,0,0,room,260,0,4,4,1,True,True,Even though we checked in early in the day our room was ready,2015-02-25,-0.3182094693183899,"[0, 135, 780, 1040, 1272]",0.06975333816321451,"['2015-01-01', '2015-06-26']",4_0,c,5,
4_3,1,2,1,0,room,260,0,4,4,3,True,False,I would say that the rooms at Excellence are comparably luxurious and well appointed and a bit larger and all have balconies with outside seatingAMBIENCEDespite the higher price tag LB did not seem all that much classier than Excellence,2015-03-05,-0.3017987608909607,"[0, 135, 780, 1040, 1272]",0.06975333816321451,"['2015-01-01', '2015-06-26']",4_0,c,5,
4_6,2,2,0,0,room,260,0,4,4,6,True,True,The rooms are very nice but I am starting to view the jacuzi as something that just takes up space as we do not ever use them any more,2015-03-26,0.00709986686706543,"[0, 135, 780, 1040, 1272]",0.06975333816321451,"['2015-01-01', '2015-06-26']",4_0,c,5,
4_8,0,2,2,0,room,260,0,4,4,8,True,False,If we knew that was King beds were optional then we would not have book with Le Blanc on our anniversary for a room with double beds,2015-05-07,-0.4918922483921051,"[0, 135, 780, 1040, 1272]",0.06975333816321451,"['2015-01-01', '2015-06-26']",4_0,c,5,True
4_9,2,2,0,0,room,260,0,4,4,9,True,True,I stayed in two different room categories and both were pretty much the same except for the view,2015-05-18,-0.4701921939849854,"[0, 135, 780, 1040, 1272]",0.06975333816321451,"['2015-01-01', '2015-06-26']",4_0,c,5,
4_10,2,2,0,0,room,260,1,4,4,10,True,True,We had resort credits when we booked so we used some of those to upgrade our room to an ocean view,2015-08-18,0.14920485019683838,"[0, 135, 780, 1040, 1272]",0.15173084325241193,"['2015-06-27', '2017-10-22']",4_1,c,6,
4_11,2,2,0,0,room,260,1,4,4,11,True,True,I have stayed at nicer rooms but have never had the service that we had at le blanc,2015-10-07,0.0704423189163208,"[0, 135, 780, 1040, 1272]",0.15173084325241193,"['2015-06-27', '2017-10-22']",4_1,c,6,True
4_12,2,2,0,0,room,260,1,4,4,12,True,True,Open plan two closets,2016-04-13,0.1497367024421692,"[0, 135, 780, 1040, 1272]",0.15173084325241193,"['2015-06-27', '2017-10-22']",4_1,c,6,
4_15,2,2,0,0,room,260,1,4,4,15,True,True,They bring the whole table to your room so you can eat with a view,2016-09-22,0.15030473470687866,"[0, 135, 780, 1040, 1272]",0.15173084325241193,"['2015-06-27', '2017-10-22']",4_1,c,6,
4_18,0,2,2,0,room,260,1,4,4,18,True,False,All of the other 5 star resorts we have stayed at mentioned above come standard with balconies you can sit on so it is a good thing to note but not a deal breaker,2017-05-02,0.08630138635635376,"[0, 135, 780, 1040, 1272]",0.15173084325241193,"['2015-06-27', '2017-10-22']",4_1,c,6,
4_19,2,2,0,0,room,260,1,4,4,19,True,True,We came back to find our Tub filled champagne roses and balloons filled the ceiling,2017-09-05,0.14120841026306152,"[0, 135, 780, 1040, 1272]",0.15173084325241193,"['2015-06-27', '2017-10-22']",4_1,c,6,
4_23,2,2,0,0,room,260,2,4,4,23,True,True,We stayed at one of the Royal Honeymoon Suites Oceanfront on the 6th floor,2018-05-23,0.1781497597694397,"[0, 135, 780, 1040, 1272]",0.19284249199045986,"['2017-10-26', '2019-03-09']",4_2,b,3,True
4_24,2,2,0,0,room,260,2,4,4,24,True,True,Scented oils pillow and bath salt menu in the room,2018-06-04,0.16152334213256836,"[0, 135, 780, 1040, 1272]",0.19284249199045986,"['2017-10-26', '2019-03-09']",4_2,b,3,
4_25,1,2,1,0,room,260,2,4,4,25,True,False,The ok first checked in and asked about the balcony room,2019-01-13,0.1667238473892212,"[0, 135, 780, 1040, 1272]",0.19284249199045986,"['2017-10-26', '2019-03-09']",4_2,b,3,
4_28,2,2,0,0,room,260,3,4,4,28,True,True,The double jacuzi in the room is something I am used to after staying in Palace resorts,2019-05-31,-0.4946750402450562,"[0, 135, 780, 1040, 1272]",0.27100869543582484,"['2019-03-12', '2020-04-12']",4_3,d,5,
4_30,2,2,0,0,room,260,3,4,4,30,True,True,Once they realized how we like things they made sure it was that way every time we returned to our room,2019-07-16,-0.25552597641944885,"[0, 135, 780, 1040, 1272]",0.27100869543582484,"['2019-03-12', '2020-04-12']",4_3,d,5,
4_31,1,2,1,0,room,260,3,4,4,31,True,False,The steps leading to the tub can be slippery and my husband took a nasty fall on them,2019-09-24,-0.4943488836288452,"[0, 135, 780, 1040, 1272]",0.27100869543582484,"['2019-03-12', '2020-04-12']",4_3,d,5,
4_33,0,2,2,0,room,260,3,4,4,33,True,False,The rooms are a bit damp and wet,2019-11-05,-0.4952124357223511,"[0, 135, 780, 1040, 1272]",0.27100869543582484,"['2019-03-12', '2020-04-12']",4_3,d,5,True
4_35,0,2,2,0,room,260,3,4,4,35,True,False,We were refused a room switch as well,2020-02-22,-0.3548113703727722,"[0, 135, 780, 1040, 1272]",0.27100869543582484,"['2019-03-12', '2020-04-12']",4_3,d,5,
5_0,2,2,0,0,facility,110,0,4,5,0,True,True,The only free wifi was in the lobby,2015-03-10,-0.4016974866390228,"[0, 885, 2140]",0.18295243004667855,"['2015-01-04', '2018-06-25 04:12:47']",5_0,a,5,
5_1,2,2,0,0,facility,110,0,4,5,1,True,True,The gym was on the small and cramped side but there were a few options but based on my Crowne Plaza experience it is pretty poor overall,2016-05-09,-0.4946321249008178,"[0, 885, 2140]",0.18295243004667855,"['2015-01-04', '2018-06-25 04:12:47']",5_0,a,5,
5_5,0,2,2,0,facility,110,0,4,5,5,True,False,Even the gym pool is sufficient for a short workout should you require,2017-07-23,-0.4799996316432953,"[0, 885, 2140]",0.18295243004667855,"['2015-01-04', '2018-06-25 04:12:47']",5_0,a,5,
5_6,2,2,0,0,facility,110,0,4,5,6,True,True,No information in room showing hotel facilities,2018-03-19 11:16:45,-0.4980983436107636,"[0, 885, 2140]",0.18295243004667855,"['2015-01-04', '2018-06-25 04:12:47']",5_0,a,5,
5_9,2,2,0,0,facility,110,0,4,5,9,True,True,Disappointing aspects included the lack of cups for water in the gym EVERY morning this was empty and I stayed for 3 nights no towels for the gym or sauna hotel cards continually not working kept no where near a phone or other cards as well as a quite archaic hairdryer in the rooms as well as no hair straighteners available at concierge,2018-05-26 06:21:04,-0.4983415603637695,"[0, 885, 2140]",0.18295243004667855,"['2015-01-04', '2018-06-25 04:12:47']",5_0,a,5,True
5_10,2,2,0,0,facility,110,1,4,5,10,True,True,Great Location great facilities close to shops and restaurants and if you are there for the football it ’s just around the corner,2018-08-18 00:00:00,0.4981914162635803,"[0, 885, 2140]",0.23149621783760255,"['2018-06-25 12:01:58', '2020-03-30 08:02:30']",5_1,d,6,
5_13,2,2,0,0,facility,110,1,4,5,13,True,True,Warm welcome by reception staff and staff in general,2019-03-25 04:35:09,0.496964156627655,"[0, 885, 2140]",0.23149621783760255,"['2018-06-25 12:01:58', '2020-03-30 08:02:30']",5_1,d,6,
5_15,2,2,0,0,facility,110,1,4,5,15,True,True,Reception staff are excellent,2019-07-26 02:08:10,0.4949817061424256,"[0, 885, 2140]",0.23149621783760255,"['2018-06-25 12:01:58', '2020-03-30 08:02:30']",5_1,d,6,
5_16,2,2,0,0,facility,110,1,4,5,16,True,True,The reception staff were very friendly helpful the room was spacious and attractive with plenty of towels and bath robes to borrow,2019-11-05 00:00:00,0.4998786449432373,"[0, 885, 2140]",0.23149621783760255,"['2018-06-25 12:01:58', '2020-03-30 08:02:30']",5_1,d,6,True
5_17,2,2,0,0,facility,110,1,4,5,17,True,True,I enjoyed the upgrade and made full us of the gym,2019-12-11 05:06:31,0.4893434047698975,"[0, 885, 2140]",0.23149621783760255,"['2018-06-25 12:01:58', '2020-03-30 08:02:30']",5_1,d,6,
5_18,2,2,0,0,facility,110,1,4,5,18,True,True,Staff were very friendly and exceptionally helpful from the concierge reception restaurant staff and the wonderful Club Lounge Concierge,2019-12-21 11:57:04,0.4995964169502258,"[0, 885, 2140]",0.23149621783760255,"['2018-06-25 12:01:58', '2020-03-30 08:02:30']",5_1,d,6,
