,yes-sentiment,yes-aspect,no-sentiment,no-aspect,category,hotel_id,cpt,Total,fileId,iId,gold-aspect,gold-sentiment,text,date,sentiment,cpts,sentiment_mean,date_period,cpt_id,cpt_label
2_13,2,2,0,0,renovation_room,260,1,4,2,13,True,True,in the rooms gorgeous lobby makeover although all those industrial urban couches and chairs need bolster pillows please and additional food boutiques for crepes and ice cream fun,2019-02-02,0.4942014813423157,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,
2_14,2,2,0,0,renovation_room,260,1,4,2,14,True,True,After the recent remodel the rooms are amazing,2019-02-19,0.4970295429229736,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,
2_15,2,2,0,0,renovation_room,260,1,4,2,15,True,True,Roger showed us to our newly remodeled chic guest room,2019-05-05,0.3755596876144409,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,
2_16,2,0,0,2,renovation_room,260,1,4,2,16,False,True,Israel and Hugo kept us updated about the shows that were happening the sea turtle release along with setting up our romantic baths in our private hot tub,2019-08-06,0.4978957176208496,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,
2_17,2,1,0,1,renovation_room,260,1,4,2,17,False,True,The extraordinary renovations of the rooms restaurants and cabanas puts this resort to a higher level of elegance and extreme comfort,2019-09-01,0.4779691696166992,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,
2_18,2,2,0,0,renovation_room,260,1,4,2,18,True,True,The rooms are so amazing and clean and updated,2019-12-27,0.4954560995101929,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,
2_19,2,2,0,0,renovation_room,260,1,4,2,19,True,True,The place is pristine they must repaint every room after each stay,2020-02-02,0.489870011806488,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,
3_0,2,2,0,0,restaurant,260,0,4,3,0,True,True,2The a la carte dining venues had food of inconsistent quality,2015-01-03,-0.4963819682598114,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a
3_1,1,2,1,0,restaurant,260,0,4,3,1,True,False,The food variety because you can request a special dish is endless,2015-01-07,-0.25686824321746826,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a
3_2,1,2,1,0,restaurant,260,0,4,3,2,True,False,the buffet is nothing short of sensational,2015-01-11,-0.4872573912143707,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a
3_3,2,2,0,0,restaurant,260,0,4,3,3,True,True,The International restaurant was okay we had a couple steaks that were underseasoned but a little salt fixed that problem,2015-01-21,-0.4895097315311432,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a
3_5,2,1,0,1,restaurant,260,0,4,3,5,False,True,The live band on the blanc stage was excellent but generally poorly attended thus lacking ambiance and in the main bar there was no after dinner entertainment something we felt should be considered,2015-01-26,-0.4241434037685394,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a
3_6,1,2,1,0,restaurant,260,0,4,3,6,True,False,No bananas no oatmeal their oatmeal looked more like warm milk with a few random oats floating around and they had a salad plates of yoghurts sitting on ice,2015-02-09,-0.4607541561126709,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a
3_7,2,2,0,0,restaurant,260,0,4,3,7,True,True,Breakfast buffet was standard comparable to Excellence,2015-03-05,-0.1756417155265808,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a
3_8,1,2,1,0,restaurant,260,0,4,3,8,True,False,We had a sour experience on the beach at LB on our first day the waitress was not at all friendly felt like we were bothering her almost and our snacks lunch took an hour to arrive,2015-03-05,-0.4926958382129669,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a
3_9,2,2,0,0,restaurant,260,0,4,3,9,True,True,due to the ravings about the restaurant i was expecting amazing food,2015-03-10,-0.2435554265975952,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a
3_10,2,2,0,0,restaurant,260,1,4,3,10,True,True,Every night we came back for dinner to get a nice soak before bed,2015-06-02,0.1549891233444214,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a
3_11,2,2,0,0,restaurant,260,1,4,3,11,True,True,The manager Antonio provided us with changes to the menu that catered to my finicky tastes,2015-06-28,0.15560120344161987,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a
3_12,2,1,0,1,restaurant,260,1,4,3,12,False,True,Offered a drink in the lobby bar while our luggage was delivered to the room,2015-07-19,0.12981128692626953,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a
3_13,1,0,1,2,restaurant,260,1,4,3,13,False,False,Order the evening scent for your room before dinner,2015-10-11,0.15406233072280884,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a
3_14,2,2,0,0,restaurant,260,1,4,3,14,True,True,We did the chefs dinner where you see the chefs cook and then eat the food accompanied with champagne and wines,2016-05-29,0.14987123012542725,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a
3_15,1,2,1,0,restaurant,260,1,4,3,15,True,False,do not get me wrong there are some good dishes there and the sushi is pretty good,2016-06-15,0.14091193675994873,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a
3_16,2,2,0,0,restaurant,260,1,4,3,16,True,True,On one night which was Thursdays they had a outside buffet set up they were grilling meats seafood had a salad bar sushi set up and many other choices,2016-12-03,0.1224832534790039,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a
3_17,2,2,0,0,restaurant,260,1,4,3,17,True,True,She knew what I liked after cooking me one meal,2017-04-30,0.15874522924423218,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a
3_18,2,2,0,0,restaurant,260,1,4,3,18,True,True,Asia restaurant Roger and his assistant Gery,2017-05-30,0.11785972118377686,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a
3_19,1,0,1,2,restaurant,260,1,4,3,19,False,False,Quick game of volleyball and a dip after lunch before the spawent right down stairs to the hydrotherapy room,2017-12-01,0.12161022424697875,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a
3_20,2,1,0,1,restaurant,260,2,4,3,20,False,True,Service was tremendous every where we went a helping hand was offered from setting up a towel on the lawn chairs to bringing my breakfast plate to the table,2018-02-01,0.21277779340744016,"[0, 75, 885, 990, 1085, 1105, 1373]",0.24622376246477196,"['2018-01-22', '2018-06-01']",3_2,c
3_21,2,0,0,2,restaurant,260,2,4,3,21,False,True,The infinity pool and swim walk up bar is as popular as ever and since all alcohol is included in the rate it gets heavy action especially from the countless groups that come to the hotel as part of corporate incentive trips Monsanto was hosting a big number of their sales crew and customers during this particular week,2018-02-04,0.16522341966629028,"[0, 75, 885, 990, 1085, 1105, 1373]",0.24622376246477196,"['2018-01-22', '2018-06-01']",3_2,c
3_22,2,1,0,1,restaurant,260,2,4,3,22,False,True,I personally witnessed a couple get up for lunch and the staff re position their umbrella to keep their seats in the shade –,2018-03-04,0.19477760791778564,"[0, 75, 885, 990, 1085, 1105, 1373]",0.24622376246477196,"['2018-01-22', '2018-06-01']",3_2,c
3_23,2,0,0,2,restaurant,260,2,4,3,23,False,True,asked if we needed anything made us reservations for dinner updated us on resort happenings and helped confirm all our transportation,2018-03-04,0.23441374301910398,"[0, 75, 885, 990, 1085, 1105, 1373]",0.24622376246477196,"['2018-01-22', '2018-06-01']",3_2,c
3_24,2,2,0,0,restaurant,260,2,4,3,24,True,True,We did really enjoy sushi at the Asian and the appetizers at the French restaurants but loved everything else too,2018-03-06,0.19053560495376587,"[0, 75, 885, 990, 1085, 1105, 1373]",0.24622376246477196,"['2018-01-22', '2018-06-01']",3_2,c
3_25,2,2,0,0,restaurant,260,2,4,3,25,True,True,The bars were all well stocked with premium liquor,2018-03-20,0.1751192808151245,"[0, 75, 885, 990, 1085, 1105, 1373]",0.24622376246477196,"['2018-01-22', '2018-06-01']",3_2,c
3_26,2,1,0,1,restaurant,260,2,4,3,26,False,True,There ’s a coffee bar in the lobby bar where they can make you lattes espresso etc Cabanas are your best use of resort credits,2018-03-25,0.20615780353546145,"[0, 75, 885, 990, 1085, 1105, 1373]",0.24622376246477196,"['2018-01-22', '2018-06-01']",3_2,c
3_27,2,2,0,0,restaurant,260,2,4,3,27,True,True,I love Thai food so I was happy to find out that they have Tom Kha Gai soup on their menu a Thai style soup with coconut milk a must try,2018-04-23,0.23266786336898804,"[0, 75, 885, 990, 1085, 1105, 1373]",0.24622376246477196,"['2018-01-22', '2018-06-01']",3_2,c
3_28,2,2,0,0,restaurant,260,2,4,3,28,True,True,I know they had more guests coming but when I go to the fancy restaurant I like to spend my time to enjoy all meals and relax,2018-05-24,0.2131771445274353,"[0, 75, 885, 990, 1085, 1105, 1373]",0.24622376246477196,"['2018-01-22', '2018-06-01']",3_2,c
3_29,2,2,0,0,restaurant,260,2,4,3,29,True,True,The restaurants at night are all good,2018-05-30,0.21019774675369265,"[0, 75, 885, 990, 1085, 1105, 1373]",0.24622376246477196,"['2018-01-22', '2018-06-01']",3_2,c
3_30,2,2,0,0,restaurant,260,3,4,3,30,True,True,And also consider the special dinners that are offered,2018-06-07,0.18077987432479856,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c
3_32,2,2,0,0,restaurant,260,3,4,3,32,True,True,Others said it was their favorite restaurant and loved their meals,2019-01-11,0.19056010246276853,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c
3_33,1,2,1,0,restaurant,260,3,4,3,33,True,False,Breakfast is great but the dinner in that same room less exciting,2019-01-20,0.19470298290252688,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c
3_34,2,2,0,0,restaurant,260,3,4,3,34,True,True,But Le Blanc also has Lumiere French Fusion Cuisine to die for,2019-01-23,0.206878662109375,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c
3_35,2,2,0,0,restaurant,260,3,4,3,35,True,True,Le Blanc PM Mexican restaurant staff,2019-01-31,0.17528903484344482,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c
3_36,1,2,1,0,restaurant,260,3,4,3,36,True,False,ExceptionalNo major change except the menu floors and the name,2019-02-03,0.16919654607772827,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c
3_37,1,2,1,0,restaurant,260,3,4,3,37,True,False,it is nice that you do not have to make reservations at the restaurants except the French one,2019-02-03,0.2172722220420837,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c
3_38,2,2,0,0,restaurant,260,3,4,3,38,True,True,The service in all restaurants was excellent but Bela went over and above,2019-02-07,0.22837746143341064,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c
3_39,2,2,0,0,restaurant,260,3,4,3,39,True,True,They decorated an entire meeting room with NFL decor including snacks and deserts and of course drinks,2019-02-08,0.2308282852172852,"[0, 75, 885, 990, 1085, 1105, 1373]",0.161984412398983,"['2018-06-03', '2019-02-10']",3_3,c
3_40,2,2,0,0,restaurant,260,4,4,3,40,True,True,Yama Japanese Restaurant,2019-02-12,0.12933874130249026,"[0, 75, 885, 990, 1085, 1105, 1373]",0.08285729186165901,"['2019-02-11', '2019-03-05']",3_4,c
3_41,1,2,1,0,restaurant,260,4,4,3,41,True,False,I adore Marco manager of Blanc pool lunch was not good at all,2019-02-21,0.1594427227973938,"[0, 75, 885, 990, 1085, 1105, 1373]",0.08285729186165901,"['2019-02-11', '2019-03-05']",3_4,c
3_42,2,2,0,0,restaurant,260,4,4,3,42,True,True,This Terrace has been totally transformed with full menu restaurant all day and evening,2019-02-21,0.09187829494476316,"[0, 75, 885, 990, 1085, 1105, 1373]",0.08285729186165901,"['2019-02-11', '2019-03-05']",3_4,c
3_43,2,2,0,0,restaurant,260,4,4,3,43,True,True,Food is very good would like to see a buffet option rather than a la carte for dinner,2019-02-26,0.14358305931091309,"[0, 75, 885, 990, 1085, 1105, 1373]",0.08285729186165901,"['2019-02-11', '2019-03-05']",3_4,c
3_44,0,1,2,1,restaurant,260,5,4,3,44,False,False,I am not a large individual and I am used to fine dining portions,2019-03-21,-0.4494306743144989,"[0, 75, 885, 990, 1085, 1105, 1373]",0.25230122002422134,"['2019-03-06', '2020-04-04']",3_5,
3_45,1,0,1,2,restaurant,260,5,4,3,45,False,False,Of particular note was dinner at Yama on the second occasion,2019-03-31,-0.468852162361145,"[0, 75, 885, 990, 1085, 1105, 1373]",0.25230122002422134,"['2019-03-06', '2020-04-04']",3_5,
3_46,1,0,1,2,restaurant,260,5,4,3,46,False,False,Love it here sad that it ’s the last night but if you have a chance to visit take a look at bar Cavo most of the late night activities are there,2019-04-24,-0.3861373662948608,"[0, 75, 885, 990, 1085, 1105, 1373]",0.25230122002422134,"['2019-03-06', '2020-04-04']",3_5,
3_47,1,0,1,2,restaurant,260,5,4,3,47,False,False,At breakfast Vanessa Elias and Erick,2019-05-27,-0.14414876699447632,"[0, 75, 885, 990, 1085, 1105, 1373]",0.25230122002422134,"['2019-03-06', '2020-04-04']",3_5,
3_48,1,0,1,2,restaurant,260,5,4,3,48,False,False,at the terrace wood bistro and the mgr at Luimere including our server,2019-09-02,0.2146098613739013,"[0, 75, 885, 990, 1085, 1105, 1373]",0.25230122002422134,"['2019-03-06', '2020-04-04']",3_5,
3_49,0,1,2,1,restaurant,260,5,4,3,49,False,False,One thing I would say is if you are vegetarian or pescatarian menus are not always correctly labelled for example onion soup in Lumiere is made with beef stock but labelled as vegetarian what does n’t help is the waiting staff are n’t trained enough to know what a vegetarian or pescatarian can eat,2019-10-27,-0.4840450584888458,"[0, 75, 885, 990, 1085, 1105, 1373]",0.25230122002422134,"['2019-03-06', '2020-04-04']",3_5,
3_50,1,0,1,2,restaurant,260,5,4,3,50,False,False,When he sees us come into the buffet area he always goes out of his way to meet us and take care of us,2019-12-09,0.1984320878982544,"[0, 75, 885, 990, 1085, 1105, 1373]",0.25230122002422134,"['2019-03-06', '2020-04-04']",3_5,
